feature,log2FC,pval,padj,class,Species.Name,Molecular.Species.Name,Structural.Species.Name,Level,networkId,GATOM.abbr
CE(16:0),1.427489485763647,0.020316300128864564,0.08370816115724077,CE,CE 16:0,CE 16:0,CE 16:0,FULL_STRUCTURE,Cholesterolester,CE(16:0)
CE(16:1),1.6793624264005782,0.046735509769659025,0.12769651911810875,CE,CE 16:1,CE 16:1,CE 16:1,SN_POSITION,Cholesterolester,CE(16:1)
CE(18:0),-0.17962214306665406,0.35756901586518264,0.480012003928198,CE,CE 18:0,CE 18:0,CE 18:0,FULL_STRUCTURE,Cholesterolester,CE(18:0)
CE(18:1),1.1540288531989762,0.035452079469858795,0.11022744248961844,CE,CE 18:1,CE 18:1,CE 18:1,SN_POSITION,Cholesterolester,CE(18:1)
CE(18:2),1.780902797180441,0.0045591408335394325,0.035572837516052266,CE,CE 18:2,CE 18:2,CE 18:2,SN_POSITION,Cholesterolester,CE(18:2)
CE(20:4),1.9933262868384705,0.001052278038853631,0.018363949000639177,CE,CE 20:4,CE 20:4,CE 20:4,SN_POSITION,Cholesterolester,CE(20:4)
CE(22:6),1.7061774387331063,0.20809442794995633,0.3340625683113542,CE,CE 22:6,CE 22:6,CE 22:6,SN_POSITION,Cholesterolester,CE(22:6)
Cer(d18:0/14:0),-1.5863029242796296,0.023471865258994428,0.08804595362780956,Cer,Cer 32:0;O2,Cer 18:0;O2/14:0,Cer 18:0;O2/14:0,STRUCTURE_DEFINED,Ceramide,Cer(d18:0/14:0)
Cer(d18:0/16:0),-0.2561276838028095,0.5837776980421101,0.6748370398307297,Cer,Cer 34:0;O2,Cer 18:0;O2/16:0,Cer 18:0;O2/16:0,STRUCTURE_DEFINED,Ceramide,Cer(d18:0/16:0)
Cer(d18:0/18:0),0.457718518415751,0.3529156334284604,0.4784360484565132,Cer,Cer 36:0;O2,Cer 18:0;O2/18:0,Cer 18:0;O2/18:0,STRUCTURE_DEFINED,Ceramide,Cer(d18:0/18:0)
Cer(d18:0/20:0),0.831197917920298,0.14381140425973948,0.26463255001537095,Cer,Cer 38:0;O2,Cer 18:0;O2/20:0,Cer 18:0;O2/20:0,STRUCTURE_DEFINED,Ceramide,Cer(d18:0/20:0)
Cer(d18:0/22:0),0.17536754453158326,0.4241629418895197,0.5399344742640709,Cer,Cer 40:0;O2,Cer 18:0;O2/22:0,Cer 18:0;O2/22:0,STRUCTURE_DEFINED,Ceramide,Cer(d18:0/22:0)
Cer(d18:1/12:0),-1.2230753589205894,0.029613553716681545,0.10076058214292274,Cer,Cer 30:1;O2,Cer 18:1;O2/12:0,Cer 18:1;O2/12:0,SN_POSITION,Ceramide,Cer(d18:1/12:0)
Cer(d18:1/14:0),-1.7915623959955531,1.699077884606453e-4,0.006765250224553856,Cer,Cer 32:1;O2,Cer 18:1;O2/14:0,Cer 18:1;O2/14:0,SN_POSITION,Ceramide,Cer(d18:1/14:0)
Cer(d18:1/14:1),-1.4629660688344819,0.003793740001718027,0.03310344098273311,Cer,Cer 32:2;O2,Cer 18:1;O2/14:1,Cer 18:1;O2/14:1,SN_POSITION,Ceramide,Cer(d18:1/14:1)
Cer(d18:1/16:0),-0.8503953015774147,4.940478398120966e-4,0.012445147863230662,Cer,Cer 34:1;O2,Cer 18:1;O2/16:0,Cer 18:1;O2/16:0,SN_POSITION,Ceramide,Cer(d18:1/16:0)
Cer(d18:1/16:1),-0.32481516415152495,0.1114264905080829,0.22081220280173205,Cer,Cer 34:2;O2,Cer 18:1;O2/16:1,Cer 18:1;O2/16:1,SN_POSITION,Ceramide,Cer(d18:1/16:1)
Cer(d18:1/18:0),0.2507629697268702,0.14679019879145314,0.2673855136234887,Cer,Cer 36:1;O2,Cer 18:1;O2/18:0,Cer 18:1;O2/18:0,SN_POSITION,Ceramide,Cer(d18:1/18:0)
