"feature","control_01","control_02","control_03","control_04","control_05","control_06","control_07","control_08","control_09","control_10","hfref_patient_01","hfref_patient_02","hfref_patient_03","hfref_patient_04","hfref_patient_05","hfref_patient_06","hfref_patient_07","hfref_patient_08","hfref_patient_09","hfref_patient_10","hfref_patient_11","hfref_patient_12","hfref_patient_13"
"Cer 38:1;2","0.116796","0.163807","0.175945","0.144654","0.172092","0.140719","0.106121","0.115924","0.111168","0.08449","0.322292","","","0.342598","","0.353618","","","0.659064","0.362813","0.351027","0.434214",""
"Cer 40:1;2","0.785783291","0.936609509","0.894446481","0.896139648","1.056511613","0.684779665","0.671644796","0.68951589","0.403749413","0.415599137","0.947513","0.423609","0.559037","1.16557","1.31245","1.09277","0.827961","0.996096","2.56155","1.53676","1.03558","1.35667","0.707666"
"Cer 40:2;2","0.149403","0.156897","0.19098","0.131244","0.248504","0.151503","0.122209","0.159459","0.098225","0.058183","0.288104","","0.202549","0.279473","0.29245","0.344172","0.232212","0.225431","0.834508","0.338012","0.358044","0.434535","0.202332"
"Cer 42:1;2","1.853015349","2.194659117","2.637757562","2.341878327","2.143355453","1.686083663","1.724686816","1.601865395","0.865028659","1.038601965","2.00519","0.891717","1.08808","2.78142","3.11595","2.50931","1.80747","2.89268","5.77245","3.24314","2.71725","3.36352","1.53757"
"Cer 42:2;2","1.332552002","1.251494308","1.946674991","1.294831865","1.634635684","1.041624181","1.168067287","1.220059006","0.73419672","0.84416132","2.1949","0.892313","0.970576","2.26789","2.64286","1.87769","1.80614","2.20761","5.2647","2.11599","2.36991","3.11386","1.25621"
"DAG 14:0;0-18:1;0","","1.066424863","","","","","","","","","","","","","","","","","14.0723","3.40301","","",""
"DAG 16:0;0-16:0;0","","","","","","","","","","","","","","","","","","","11.7758","","","",""
"DAG 16:0;0-18:1;0","3.13781007","5.382072416","2.121722417","3.9616688","1.443762631","1.858876549","2.109701255","1.667735858","1.954143203","1.104512789","6.12542","5.37951","1.98757","7.4538","4.72083","14.5373","3.78319","8.57545","48.257301","13.1621","5.01896","13.0967","6.68737"
"DAG 16:0;0-18:2;0","2.150068499","2.18440986","0.978279895","4.76699995","","0.988860626","1.081633178","","0.38145696","0.490045991","3.39346","2.74464","","5.45786","3.61289","4.1334","2.89069","3.66436","13.3941","2.48754","4.23664","7.84902","3.21869"
"DAG 16:1;0-18:1;0","1.352418429","1.461112332","0.379705992","1.449991691","","0.640632661","0.379381352","","1.089581047","0.612667013","","","","","","4.86045","","3.95812","17.4098","5.54451","","","2.1719"
"DAG 18:1;0-18:1;0","10.6386151","11.16423061","3.897192543","8.136205131","5.76352064","4.246703486","4.547381476","2.508815509","6.80767688","4.747227971","9.00095","8.14667","3.65372","14.8821","7.82112","28.312901","11.5178","23.0151","77.902199","15.8027","8.75003","27.415501","9.47439"
"DAG 18:2;0-18:0;0","","0.406371687","0.1096594","","","0.168852347","","0.089296306","","0.068679197","","0.254831","","","","","","","5.89681","","","",""
"DAG 18:2;0-18:1;0","8.10004139","7.730087242","3.689130525","11.19887025","4.747002548","3.855888412","5.399426548","1.992540482","2.939283513","3.720653207","7.65783","5.28011","1.59965","14.0241","8.84043","19.5028","8.92484","16.5142","49.647099","7.13065","9.79977","15.28","7.7618"
"DAG 18:2;0-18:2;0","2.469033162","1.291670793","0.768008724","5.603533982","1.006881013","0.955203835","1.584134821","","0.318174624","0.766267486","3.77068","0.626504","1.86812","2.04229","1.40136","2.60476","3.99436","2.47215","5.76962","","5.05513","6.5011","4.52344"
"DAG 18:3;0-18:1;0","2.313600763","2.133500015","1.146820372","2.5886417","1.849711241","1.191048533","1.826024793","","1.140149586","1.179810929","","2.01404","","4.84934","3.12684","5.15201","","5.02793","12.3255","4.74409","","",""
"LPC 14:0;0","0.612718283","0.436017211","","","0.742048369","","0.683783244","0.912748193","","","","","","","","1.40735","1.2164","0.590079","2.14361","2.59165","","1.58505","1.1026"
