sample_name,label_name,group,pair
control_01,ctrl1,ctrl,NA
control_02,ctrl2,ctrl,NA
control_03,ctrl3,ctrl,NA
control_04,ctrl4,ctrl,NA
control_05,ctrl5,ctrl,NA
control_06,ctrl6,ctrl,NA
control_07,ctrl7,ctrl,NA
control_08,ctrl8,ctrl,NA
control_09,ctrl9,ctrl,NA
control_10,ctrl10,ctrl,NA
hfref_patient_01,hfref1,exp,NA
hfref_patient_02,hfref2,exp,NA
hfref_patient_03,hfref3,exp,NA
hfref_patient_04,hfref4,exp,NA
hfref_patient_05,hfref5,exp,NA
hfref_patient_06,hfref6,exp,NA
hfref_patient_07,hfref7,exp,NA
hfref_patient_08,hfref8,exp,NA
hfref_patient_09,hfref9,exp,NA
hfref_patient_10,hfref10,exp,NA
hfref_patient_11,hfref11,exp,NA
hfref_patient_12,hfref12,exp,NA
hfref_patient_13,hfref13,exp,NA
