"feature","ACH_000973","ACH_000070","ACH_000411","ACH_001306","ACH_000137","ACH_000697","ACH_000557","ACH_000838","ACH_000802","ACH_000228","ACH_000402","ACH_000832","ACH_000518","ACH_000856","ACH_000516","ACH_000264","ACH_000713","ACH_000329","ACH_000120","ACH_000458","ACH_000920","ACH_000253","ACH_000350","ACH_000256","ACH_000278","ACH_000608","ACH_000055","ACH_000095","ACH_000243","ACH_000211","ACH_000233","ACH_000258","ACH_000435","ACH_000330","ACH_000308","ACH_000936","ACH_000706","ACH_000295","ACH_000585","ACH_000906","ACH_000487","ACH_000633","ACH_000082","ACH_000098","ACH_000738","ACH_000047","ACH_000746","ACH_000485","ACH_000374","ACH_000859","ACH_000150","ACH_000840","ACH_000467","ACH_000012","ACH_000454","ACH_000190","ACH_000954","ACH_000941","ACH_000996","ACH_000831","ACH_000984","ACH_000542","ACH_000847","ACH_000393","ACH_000014","ACH_000799","ACH_000274","ACH_000054","ACH_000986","ACH_000552","ACH_000926","ACH_000118","ACH_000882","ACH_000915","ACH_000569","ACH_000476","ACH_000734","ACH_000324","ACH_000237","ACH_000132","ACH_000584","ACH_000928","ACH_000993","ACH_000711","ACH_000653","ACH_000404","ACH_000507","ACH_000167","ACH_000259","ACH_000773","ACH_000293","ACH_000969","ACH_000862","ACH_000250","ACH_000714","ACH_000576","ACH_000541","ACH_000622","ACH_000858","ACH_000265","ACH_000631","ACH_000524","ACH_000855","ACH_000809","ACH_000865","ACH_000824","ACH_000627","ACH_000471","ACH_000769","ACH_000819","ACH_000252","ACH_000390","ACH_000787","ACH_000477","ACH_000796","ACH_000621","ACH_000884","ACH_000910","ACH_000935","ACH_000881","ACH_000601","ACH_000362","ACH_000851","ACH_000335","ACH_000045","ACH_000938","ACH_000294","ACH_000510","ACH_000921","ACH_000589","ACH_000869","ACH_000766","ACH_000448","ACH_000021","ACH_000747","ACH_000781","ACH_000521","ACH_000841","ACH_000311","ACH_000785","ACH_000481","ACH_000924","ACH_000092","ACH_000800","ACH_000463","ACH_000395","ACH_000403","ACH_000427","ACH_000911","ACH_000116","ACH_000336","ACH_000013","ACH_000159","ACH_001151","ACH_000947","ACH_000663","ACH_000022","ACH_000606","ACH_000732","ACH_000735","ACH_000937","ACH_000307","ACH_000320","ACH_000169","ACH_000041","ACH_000960","ACH_000791","ACH_000261","ACH_000505","ACH_000943","ACH_000473","ACH_000242","ACH_000410","ACH_000839","ACH_000782","ACH_000376","ACH_000099","ACH_000748","ACH_000017","ACH_000361","ACH_000822","ACH_000665","ACH_000363","ACH_000260","ACH_000366","ACH_000811","ACH_000974","ACH_000932","ACH_000549","ACH_000302","ACH_000483","ACH_000623","ACH_000907","ACH_000517","ACH_000500","ACH_000683","ACH_000537","ACH_000460","ACH_000338","ACH_000365","ACH_000953","ACH_000677","ACH_000820","ACH_000651","ACH_000018","ACH_000571","ACH_000720","ACH_000318","ACH_000488","ACH_000917","ACH_000408","ACH_000452","ACH_000397","ACH_000387","ACH_000146","ACH_000885","ACH_000459","ACH_000317","ACH_000495","ACH_000364","ACH_000579","ACH_000522","ACH_000545","ACH_000484","ACH_000827","ACH_000332","ACH_000469","ACH_000570"
"C14.0.LPC","6.073383","5.986797","5.813777","5.693855","5.909185","6.112666","6.167726","5.994387","5.472416","5.591516","6.223074","5.710738","5.642663","6.045437","5.68082","5.800609","5.383299","5.863284","5.796298","5.97628","5.818999","6.022755","5.835476","5.802806","5.396895","5.983388","5.918428","6.352589","5.441253","5.716133","5.619277","6.127211","5.85944","6.078677","5.818339","5.562602","5.643056","6.123328","5.858533","6.096833","6.142637","5.740759","5.541097","5.980212","5.730483","6.050051","5.86729","6.243757","5.988705","6.152239","6.208566","5.995586","6.010958","5.607901","5.742555","5.374773","5.53666","5.906683","5.95218","5.818193","5.564525","5.90745","5.591613","5.898721","6.246525","5.927511","5.857734","5.770571","6.249115","5.795661","5.650267","5.624615","6.062034","6.020648","6.377596","5.879257","5.571051","6.302882","6.064688","5.737052","5.833557","5.709427","5.798305","5.924815","6.219102","6.024821","5.855579","5.964769","5.900885","6.196887","5.675645","6.157537","5.8327","5.786512","5.977254","6.353713","5.857098","5.976717","5.586602","5.783204","6.440153","5.928142","5.591337","5.905861","5.971136","5.565942","5.493803","5.933956","5.838682","6.052967","5.816525","5.889623","5.739432","6.329549","5.954129","5.965122","5.787905","6.350932","5.697748","6.466313","5.974142","5.973561","5.80846","6.746267","5.93362","6.251986","6.069244","5.731874","5.532255","5.926634","5.761718","5.698461","6.029983","5.887061","5.777257","5.827085","6.202267","5.279536","5.655538","6.092389","6.011469","6.201737","6.16801","6.005633","5.527524","5.741328","6.003123","6.201895","5.98915","5.755219","6.182419","6.268594","6.249132","5.691618","6.349313","5.717042","5.821049","5.517109","5.529582","6.395458","5.99393","6.062126","6.043974","6.148887","6.146748","5.906048","5.931437","6.029429","5.976198","5.730805","5.74621","5.826721","5.638762","5.836767","5.758213","5.654699","6.219305","5.817693","6.182247","5.883424","6.2467","6.818376","6.418237","5.639356","5.639525","5.582383","5.995279","5.824671","5.988086","5.797786","6.229004","6.143271","6.054457","6.160768","5.538925","5.777781","6.114555","6.08155","6.142208","5.995855","5.987948","5.764671","5.669162","5.645177","5.733231","5.384988","5.78296","6.212115","6.048432","5.905713","5.238303","5.968486","5.740702","5.809717","6.169883","5.889318","5.95091","6.009991","5.768739","5.787137","6.170985","5.727175","6.274964","5.893559","6.109133","5.788083","5.696837","5.700827"
"C16.1.LPC","6.065947","5.740817","5.849202","5.612929","5.811916","5.880742","5.712426","5.621516","5.532625","5.550784","5.964588","5.889597","5.883976","6.191308","5.758232","5.648504","5.720315","6.086528","5.630225","5.68769","5.569241","6.143384","5.72171","5.839227","5.361829","5.957628","6.074509","6.101925","6.026155","5.803259","5.538581","5.702274","5.37203","5.788513","5.604046","5.419567","5.942611","5.796665","5.958534","6.370026","5.263545","6.231547","5.644978","6.157325","5.595498","5.798071","5.755985","6.289826","5.997692","5.919886","5.738965","5.927484","6.416926","5.572401","6.091733","6.161181","5.622371","5.663767","5.69878","5.620726","5.723949","6.012598","6.308607","5.867978","6.187991","5.574835","6.156624","5.820027","5.91585","5.850856","5.89893","5.693432","6.24435","6.202227","5.884469","5.988802","6.160852","5.731925","6.244922","5.939142","5.965956","5.561051","5.538615","5.909788","5.99428","6.052677","5.90955","5.90455","5.92906","5.888381","5.938391","5.715221","5.572755","5.654255","6.212574","6.013526","5.534491","5.896051","5.873827","5.931171","6.193617","5.635101","5.631066","5.804753","5.570807","5.585834","5.538093","5.734299","6.090766","6.256936","5.861707","5.730899","5.779519","6.2279","6.015632","5.775909","5.52464","5.954086","6.125449","6.339674","5.95463","5.863158","5.772226","6.081057","5.952138","5.817565","6.055993","6.263356","5.558882","5.683615","5.857761","5.895709","5.998171","6.019367","5.923963","5.715956","5.817983","5.663605","6.346407","6.051792","5.902223","6.342299","5.917783","6.006818","5.673288","5.719693","6.310584","5.746732","5.704699","6.202912","6.026987","6.082899","5.404337","5.965426","6.533683","5.330467","5.479812","5.736544","6.135117","6.246576","5.817199","5.988413","5.526284","6.191116","5.538469","6.003528","6.306957","6.145256","5.973422","5.803419","6.081922","5.784968","6.022127","5.851941","5.594451","5.673158","5.961508","5.817556","5.936293","5.965858","6.396218","5.762861","5.754967","6.067786","5.658585","5.706713","5.524829","5.939265","5.996297","5.744059","6.043139","6.110397","5.638444","5.507434","5.857235","5.890913","6.197817","5.903282","5.761078","5.871236","6.004512","6.056353","6.328233","5.651882","6.09617","5.753819","5.864352","5.913384","5.935664","5.806388","5.791996","5.736377","5.629401","5.85254","5.787532","5.68037","5.868659","6.103678","5.929368","5.874716","5.907197","5.883606","6.126258","5.903408","6.161427","5.857384","5.796447","6.119667"
"C16.0.LPC","6.080238","5.588912","5.807984","5.578419","6.10088","6.122539","5.456854","5.610708","5.120138","5.6437","6.318614","5.727512","5.917362","6.219908","5.87034","5.321429","5.70648","6.142716","5.77947","6.043509","5.527826","5.731409","5.702713","5.784053","5.452453","5.956906","6.260546","6.141909","6.016665","5.853549","5.218983","5.703055","5.499346","6.184284","5.594902","5.840243","6.01533","5.449454","6.010192","6.410259","5.909935","5.894958","6.005139","6.365553","5.788417","6.138466","5.837906","6.00333","6.058555","6.154381","5.903558","5.779247","6.010236","5.485868","5.70165","6.050085","5.871408","5.969374","5.604674","5.868125","5.762476","5.815725","5.822769","5.661512","5.973596","5.727572","6.328583","5.69954","6.056882","6.058155","5.853247","5.346687","5.791842","6.212906","6.044909","6.051106","5.858967","6.293158","6.178451","5.950619","5.536835","5.751058","5.563785","5.912877","6.113048","6.145136","5.845824","5.564012","6.040835","5.626944","5.821442","5.988369","5.90889","5.825734","6.405477","5.802505","5.111126","5.726434","6.072591","5.974866","6.441207","5.975878","5.826375","6.216563","5.842575","5.582292","5.74504","5.894215","6.132089","6.092323","5.796699","5.711552","5.993041","6.517225","6.181426","6.250855","5.650486","6.08382","6.065021","6.338217","5.853813","5.671439","5.811685","6.060688","5.817848","6.128553","5.894685","6.104261","5.616831","5.923709","5.732296","5.739184","5.687531","6.09261","6.033162","5.921874","5.658923","5.443566","6.2815","5.972334","5.997958","6.36882","5.623825","6.050678","5.261818","5.696099","6.256983","5.804404","5.772407","5.852197","5.765288","6.337806","5.785475","5.868914","6.299576","5.587282","5.648978","5.428972","6.207124","6.250219","5.735286","6.168644","5.974916","5.967209","5.519989","6.301306","6.283335","6.22664","6.257576","5.701678","5.500793","5.588647","5.891698","6.024237","5.510554","5.667246","5.794193","5.706863","6.057916","6.29563","6.413407","6.179074","5.966084","6.118207","6.150043","5.888023","5.775122","5.819161","5.672094","5.772848","6.108079","6.084781","5.607058","6.071815","5.674098","5.913219","6.148381","6.120315","6.166701","5.855524","5.828191","6.00178","5.872276","5.563674","5.975175","5.71467","5.607094","5.895808","5.75183","5.729713","5.863587","5.805739","5.658295","5.35415","5.673401","5.649953","5.649688","5.897243","5.758261","5.890062","5.898561","5.754006","6.19672","5.636238","6.252294","5.892571","5.953639","6.058713"
"C18.2.LPC","5.463088","5.985183","6.082293","6.006846","5.550954","5.800489","5.5979","6.028676","5.836032","5.636787","5.971151","5.875359","6.006736","6.243157","5.732436","5.987915","6.184502","6.124001","6.255086","5.792308","5.74616","5.924925","5.631128","5.723942","5.840118","5.73125","6.774793","6.315772","5.6212","5.767787","5.479614","6.185918","5.98704","5.867021","5.784874","5.66884","6.223202","6.232015","6.084691","6.172755","6.056568","5.887702","5.720527","5.664288","5.607026","5.800043","5.729906","5.972676","6.070038","6.001955","5.960242","6.098488","5.614503","5.570772","5.543042","6.087156","5.571331","5.795187","5.691894","5.881645","6.01125","6.137153","5.748163","5.802836","5.986573","6.054742","5.790177","5.80846","6.175951","6.258124","5.746434","5.923853","5.548205","6.058558","5.880109","5.958715","5.90867","5.880135","6.305653","6.293389","6.088414","5.665317","5.774336","5.904063","5.681262","5.891485","5.910913","5.974494","5.974725","6.185987","6.460567","5.792587","5.655664","5.534793","6.367619","6.175518","5.730746","5.957764","5.790977","5.527073","6.311213","6.013421","5.929317","5.667677","5.582345","5.929399","5.667842","5.705684","5.986371","6.351588","5.883976","6.031194","6.060925","5.717827","6.024032","6.011961","6.106092","5.933069","6.029041","6.343779","5.898159","5.883771","5.690161","6.088479","5.823356","5.852688","5.764399","5.896245","5.880692","5.928454","5.721476","5.814425","5.678196","5.893121","5.978465","5.723157","5.895245","5.631262","5.193561","5.874283","5.755858","6.356947","5.946021","6.115902","5.695921","5.757477","5.945771","5.813541","5.807162","6.087376","6.15064","5.697233","5.709585","6.322661","6.4611","5.864738","5.684249","5.883976","6.334854","6.28041","5.96374","6.077195","5.766099","5.867759","5.8191","5.800355","6.232794","5.724597","5.845577","6.003898","5.708724","5.813023","5.858706","5.895946","5.464527","5.832912","5.956234","5.808163","5.941612","5.804037","6.783691","6.177279","6.214164","6.124071","6.270558","5.683306","5.74168","6.025049","5.732973","6.157731","6.286903","6.155601","5.983484","5.730782","5.574381","6.146945","6.194823","5.931717","5.398541","5.996691","6.273652","5.645287","5.722245","5.842712","5.782588","5.859531","6.281043","5.787836","5.771027","5.909596","5.906502","5.90618","6.056124","5.77936","5.977209","5.615901","5.902358","5.829953","5.958028","6.086736","5.776936","5.733709","5.780909","5.692655","6.151536","5.948623","5.712796","5.688767"
"C18.1.LPC","6.18215","5.486523","5.925475","5.665173","5.964483","5.87358","5.246976","5.787629","5.396404","5.619858","6.064679","5.797585","5.938571","6.310311","5.612016","5.643695","5.759479","6.072198","5.874375","5.880226","5.549462","6.012145","5.679386","5.977416","5.610653","5.768133","6.187971","5.896026","6.033314","5.868095","5.274602","5.33487","5.643656","5.895202","5.678331","5.607292","5.971374","5.361848","5.870512","6.379156","5.510856","5.823588","5.806508","6.253321","5.788095","5.871407","5.599188","5.960028","5.906058","6.141145","5.590038","5.852171","6.269588","5.376215","5.956983","6.258038","5.882173","5.828759","5.520235","5.956679","5.706919","6.019163","5.731157","5.95228","5.989092","5.916355","6.186088","5.855284","5.739383","5.938358","6.057436","5.627189","6.041394","6.216533","5.951515","6.099664","5.786663","5.948093","6.185783","5.92388","5.787405","5.763218","5.651642","6.013178","6.086582","6.1232","5.847175","5.559161","5.973894","5.558352","5.942266","5.94271","5.747413","5.73263","6.300513","5.618302","5.188132","5.883976","5.809032","5.907492","6.368391","5.9122","5.823874","5.882047","5.66618","5.787215","5.993574","5.968891","6.081698","6.009998","5.882155","5.857059","5.867775","6.376771","6.324148","6.001121","5.776907","5.879533","5.957048","6.377145","5.947483","5.822133","5.896221","6.049805","5.754271","5.859984","5.614729","6.239593","5.733045","5.742804","5.81645","6.028306","5.838961","5.884532","6.021941","5.778859","5.792904","5.628991","6.083715","6.103901","5.877532","6.321862","5.880247","5.908201","5.575399","5.754029","6.156168","5.723178","5.874263","5.77423","5.703505","6.240574","5.672722","6.121699","6.350907","5.502304","5.739859","5.909319","6.119746","6.186196","5.555252","6.088071","5.878364","5.984897","5.313785","6.020945","6.157023","6.226682","6.055178","5.859014","5.785935","5.717043","5.8386","6.049412","5.612549","5.891781","5.835419","5.919056","5.794945","6.064273","6.33449","6.071852","5.746645","6.103859","5.900489","5.71261","5.664209","5.546993","5.846685","5.693965","6.182352","5.912973","5.600279","5.881935","5.767406","6.007807","6.114124","5.884149","5.70345","5.661092","5.498752","6.054594","6.125149","5.712036","6.086465","5.779498","5.831914","5.763836","5.94156","5.730127","5.884189","5.733775","5.768363","5.463971","5.246246","5.684617","5.826857","5.879558","5.846915","5.856772","5.962132","5.840255","6.127417","5.848866","6.135744","6.094816","5.813603","6.020115"
"C18.0.LPC","5.689391","5.762467","5.497076","5.86599","6.313542","5.98405","5.388949","5.59998","5.050869","5.972863","6.321028","5.689351","6.183432","6.372853","6.061583","5.658698","5.75443","6.247415","5.950065","6.191838","5.69157","5.738658","5.80284","5.673788","5.812661","5.89671","6.413006","6.425313","6.165809","5.728925","5.229158","5.618964","5.713067","6.115673","5.399618","5.646089","6.100708","5.702074","6.212303","6.492066","6.285546","5.946838","6.101996","6.39762","5.820107","5.828044","5.904824","5.734482","6.157659","6.061659","5.703364","5.929783","5.918561","5.603149","5.65307","6.013325","5.594496","5.61344","5.529647","5.906118","5.943746","5.968944","5.932627","5.858238","5.849527","5.918658","6.557834","5.822995","6.318647","6.220392","5.69975","5.621646","5.546796","6.13263","6.202163","5.857929","5.892056","6.115874","6.18403","6.175688","5.647048","5.824638","5.612508","5.776806","6.393797","6.215211","5.978936","5.734603","5.965099","5.938286","5.924167","5.946712","5.814559","5.680127","6.525107","6.117161","5.047709","5.852117","6.164298","5.811159","6.509724","6.075955","5.72783","6.322797","5.814591","5.590221","5.65716","5.996281","6.411042","6.236728","5.91021","5.820376","6.168562","6.669888","6.655441","6.368864","5.909141","5.805298","6.04213","6.235517","5.464873","5.547301","5.699041","5.816351","5.855932","6.426298","5.721564","5.94383","5.737727","6.098298","5.797736","5.9291","5.331471","6.06374","6.184506","5.873927","5.699312","5.692438","5.947329","5.771794","6.126288","6.515847","5.608085","6.265092","5.316413","5.610529","6.415138","5.775629","6.024668","5.752614","5.993799","6.495459","5.795002","6.046367","6.277522","5.723854","5.877896","5.371543","6.444208","6.305709","5.866653","6.329629","6.084292","5.994193","5.482588","6.333378","6.329628","6.347458","6.165824","5.903133","5.489878","5.304685","6.084941","6.11205","5.938169","5.491433","6.006079","5.653621","6.124179","6.499065","6.528614","6.289818","6.28791","6.330827","6.406427","5.698023","5.618694","5.764977","5.611272","5.713588","6.235622","6.281972","5.865763","6.353335","5.750714","6.062472","5.912159","6.170118","6.143681","5.753155","5.939589","6.137959","5.615107","5.502746","5.601514","5.667199","5.714482","5.883976","5.941884","5.658217","5.926965","5.888866","5.829334","5.510173","5.67797","5.739769","5.769358","5.851079","5.853344","5.881213","5.798583","5.719084","6.265514","5.641722","6.288368","6.126438","6.191752","6.071064"
"C20.4.LPC","6.069518","5.518616","5.783472","5.669547","5.745862","5.879752","5.624294","5.862501","5.433736","5.595212","5.989861","5.807842","5.910413","6.18632","5.656754","5.74022","5.713082","6.069174","5.827158","5.887412","5.551896","6.037826","5.623949","6.013241","5.618508","5.761089","6.163644","5.959318","5.856723","5.842457","5.389859","5.62845","5.679616","5.766495","5.760274","5.588217","5.938521","5.481628","5.814319","6.257639","5.649263","5.810377","5.8118","6.168944","5.722004","5.757073","5.705725","5.9943","5.827334","6.012477","5.608841","6.272738","6.157756","5.323991","6.047435","6.019685","5.876764","5.834458","5.590105","5.851324","5.694921","6.041275","5.692665","6.173608","5.978714","5.951618","5.987945","5.860817","5.878882","5.910195","6.069835","5.712551","5.973294","6.157611","5.95944","6.070858","5.768661","5.883976","6.083691","5.865571","5.817139","5.788021","5.627531","5.900684","6.07801","6.018195","5.613661","5.684974","5.976637","5.60792","5.923842","5.941239","5.755454","5.619833","6.207699","5.687918","5.369456","5.888785","5.866626","5.796168","6.259677","5.857099","5.914826","5.835986","5.644425","5.708394","5.84895","5.96984","5.990653","6.228755","5.865928","5.849757","5.769517","6.253163","5.999201","6.025081","5.841202","5.850899","5.856833","6.296184","5.912739","5.804099","5.604754","6.056428","5.589946","5.832255","5.767067","5.612893","5.807958","5.787699","5.920309","5.825141","5.591592","5.901573","6.09601","5.782053","6.077539","5.937831","5.539341","6.054802","5.783006","6.197731","5.894572","5.989888","5.579469","5.643008","6.099798","5.86904","5.845129","5.735129","5.70825","6.050023","5.70574","6.114199","6.271518","6.132532","5.738399","5.660983","6.099882","6.092774","5.682938","5.95808","5.79021","5.962047","5.543404","6.038098","6.023466","6.331356","6.05001","5.909453","5.829825","5.745624","5.809482","6.038228","5.612471","5.839597","5.828879","5.957038","5.857695","5.988008","6.253498","5.999701","5.824869","6.010783","5.878319","5.668622","5.658212","5.742556","5.988424","5.544259","6.097953","5.962132","5.671395","5.898994","5.756573","5.947648","6.002861","5.83706","5.658349","5.798793","5.560426","6.075514","6.031306","5.696052","5.994542","5.72458","5.856416","5.852391","5.92305","5.754478","5.905213","5.75233","5.705711","5.523091","5.519833","5.95675","5.887006","5.917049","5.770927","6.036888","5.952929","5.866718","6.083226","5.828001","6.09403","5.988345","5.616164","6.021587"
"C20.3.LPC","5.692835","5.960901","5.548593","5.879215","6.259112","5.883128","5.58142","5.759638","4.965084","5.884124","6.305582","5.68029","6.105133","6.224595","6.023144","5.68527","5.620815","6.188579","5.866904","6.193609","5.801761","5.899944","5.70739","5.787981","5.764157","5.870352","6.257264","6.532371","6.161251","5.752887","5.498402","5.810252","5.713992","6.284676","5.363781","5.542603","6.105476","5.89171","6.185682","6.328078","6.418524","5.883976","6.088892","6.311977","5.688229","5.824924","6.022003","5.717513","6.130778","6.041402","5.876775","5.885235","5.881585","5.430098","5.675081","5.946062","5.685794","5.526881","5.555317","5.792473","5.990714","5.904471","5.888199","5.954285","5.813428","5.933793","6.422864","5.836055","6.357118","6.126772","5.670006","5.980739","5.366096","6.038057","6.138433","5.836482","5.826883","6.049362","6.118703","6.099156","5.64587","5.824865","5.608215","5.683379","6.27636","6.161993","5.964746","5.78591","5.890638","6.196174","5.86676","5.965006","5.840881","5.733049","6.410538","5.923929","5.29232","5.873994","6.103284","5.738874","6.307026","5.989438","5.847745","6.222868","5.850776","5.432417","5.395846","6.028286","6.352002","6.127105","5.934918","5.804672","6.063021","6.449417","6.493797","6.36332","5.841557","5.76873","6.003843","6.160188","5.307419","5.388837","5.752653","5.810125","5.904322","6.376399","5.838611","5.829893","5.804877","5.985972","5.899657","5.890122","5.372388","6.010872","6.093563","5.991945","5.721751","5.703166","5.821054","5.782949","6.066342","6.384765","5.598532","6.22345","5.318793","5.840331","6.353179","5.873423","5.975889","5.759752","6.059145","6.348313","5.817918","6.107853","6.22784","5.706543","5.895093","5.342399","6.506334","6.237056","5.859508","6.201133","6.065634","5.954059","5.647847","6.376983","6.262122","5.908358","6.028118","5.939777","5.53981","5.252182","6.046897","6.139217","5.953129","5.452257","5.947407","6.08618","6.079936","6.394363","6.445977","6.204104","6.327444","6.254373","6.225801","5.671831","5.562394","5.84965","5.785067","5.757593","6.137771","6.160348","5.84631","6.257509","5.732438","5.970681","5.753336","6.035621","6.098165","5.881863","6.24061","5.932215","5.702245","5.521177","5.642395","5.665481","5.501387","5.821354","5.853869","5.678358","5.894778","5.891106","5.884704","5.583197","5.823759","5.753912","5.798832","5.679896","5.853506","5.85419","5.820877","5.755617","6.221688","5.679556","6.222258","6.057395","6.179105","6.078523"
"C22.6.LPC","5.713362","5.571558","5.904189","5.827911","5.883976","5.423939","5.879468","5.57648","5.610192","5.688631","5.682584","5.87323","5.919285","6.203701","5.470167","5.790349","5.893753","5.890105","6.085793","5.737741","5.30938","5.306542","5.846422","6.029691","5.949445","5.656688","6.19792","5.970952","6.091913","5.794684","5.189097","5.655674","5.848226","5.866749","5.844097","5.585043","6.136386","5.693271","5.967399","5.649264","5.631722","6.037056","5.451441","5.878611","5.745562","5.933612","5.517933","5.961812","5.70272","5.906276","5.701288","6.265483","5.808197","5.66273","5.889798","6.114003","5.718868","5.725854","5.700197","6.128303","5.858447","6.058923","5.856932","6.117932","5.976924","6.185472","5.867494","5.951327","5.739689","6.070716","5.547755","5.864774","5.751087","5.955456","5.931096","5.921726","5.768238","5.738578","5.919666","5.931207","6.098018","5.834531","5.852676","5.760783","5.257964","6.06839","5.874503","5.374732","5.91711","5.72412","6.218536","5.925139","5.750206","5.851296","6.342487","5.667581","5.572362","5.801561","5.857342","5.569638","6.012041","5.969193","5.956392","5.774634","5.883365","5.817142","5.566107","5.870498","5.952743","6.233782","5.88599","5.948096","5.833331","6.000935","5.992189","5.866461","5.983432","5.753782","5.896049","6.21626","5.933363","5.608608","5.657577","6.02497","5.492629","5.429558","5.489359","5.867097","5.922662","5.824196","5.935254","6.10343","5.512406","5.950141","6.101578","5.83535","5.933564","5.814271","5.71055","5.765239","5.824201","6.244669","5.962249","6.092773","5.692766","5.692266","6.208206","5.893206","5.754124","5.825896","5.721071","5.963209","5.714412","6.213853","6.258175","6.005267","5.826581","5.807809","5.914355","6.100327","5.758218","5.790411","5.878729","5.846508","5.795774","5.810189","6.130395","6.216682","5.932288","5.99406","5.858099","5.776718","5.831118","5.757252","5.381962","5.623709","6.182415","5.858922","5.84039","5.719152","6.002722","6.174127","5.838423","5.975991","5.913453","5.816736","5.588753","5.737844","5.895778","5.905383","6.293853","6.117157","5.886079","5.984591","5.598045","6.005764","6.0217","5.801897","5.291582","5.555098","5.798805","6.07991","5.946588","5.879315","5.834502","5.822704","6.080625","5.507518","5.757455","5.98281","5.901329","6.065328","6.004748","5.305339","5.573206","6.000172","6.055119","6.187982","5.887335","6.120047","5.81987","5.476758","5.767467","6.040193","5.967575","5.777494","5.83814","6.108852"
"C16.0.LPE","5.937374","5.883976","6.298276","5.730216","5.689446","6.149402","6.243096","6.196878","5.209392","5.583923","6.254439","6.092149","5.957094","5.767895","5.717103","5.49322","5.910952","5.442148","5.806283","5.338438","5.660268","5.884205","5.750586","5.6481","5.681057","6.192546","5.603206","6.035441","5.902859","5.963942","6.010363","6.071775","5.353309","5.379109","6.023437","5.726384","5.817415","5.822642","5.823154","6.646944","5.822379","6.036128","5.351982","6.009136","5.396717","6.427894","5.953975","5.881916","5.489939","6.113268","5.399482","5.914647","6.064352","5.775382","6.082103","5.662123","6.035384","6.604769","5.85832","5.963418","5.856336","6.119083","6.048868","6.100336","5.983124","5.600613","5.440537","5.619844","6.02427","6.175397","5.855619","5.705719","6.057753","6.047287","5.834538","6.327429","6.17462","6.340382","5.629059","5.411879","5.736303","5.378844","5.895311","6.148922","6.141841","5.532269","5.387039","6.08587","5.669625","5.871033","5.578211","5.970993","5.587026","6.267333","5.763885","6.498981","5.857675","5.800304","5.664514","5.708914","6.069147","5.67244","5.955185","5.931257","6.209635","5.723482","5.535221","6.012368","5.692458","5.749304","5.632645","5.463824","5.507104","5.721385","6.04429","6.043802","5.48492","6.449798","6.275118","5.959976","6.016775","6.096489","6.105617","6.207521","6.182112","6.306633","6.354296","6.246782","5.56344","5.990468","6.119545","6.391847","5.8896","5.910464","5.995663","6.068553","5.291173","5.749759","6.295472","6.184661","5.783684","5.882218","5.959668","5.497042","5.854436","5.755525","5.917721","5.847315","5.814337","5.470682","5.939558","5.966036","5.901625","5.618057","5.657056","5.174609","5.213921","5.867955","5.652873","6.540272","6.055682","5.71409","6.392871","6.382503","5.722255","6.744475","5.283531","6.055389","6.439594","6.087479","5.926405","5.969766","6.152394","6.228158","5.42502","5.337444","6.098877","5.509418","5.879333","6.215642","5.400948","6.038129","5.779359","5.490069","5.72065","5.911678","5.716426","6.455279","5.517749","5.870065","6.582014","5.675792","5.900438","5.554259","5.890269","5.774448","5.892027","6.306242","6.437703","6.316939","6.273153","5.777384","6.247316","5.543611","6.189351","5.895482","5.109099","5.887714","5.799206","5.868353","5.83804","6.01883","5.423618","5.815005","6.208121","5.985909","5.476446","6.313337","5.964956","6.230441","5.996954","5.927443","5.603398","6.159873","5.80545","5.745978","5.598708","6.287648"
