"feature","class","structural_category","functional_category","totallength","totaldb","totaloh","FA_length","FA_db","FA_oh"
"Cer 38:1;2","Cer","SL","MEM","38","1","2","","",""
"Cer 40:1;2","Cer","SL","MEM","40","1","2","","",""
"Cer 40:2;2","Cer","SL","MEM","40","2","2","","",""
"Cer 42:1;2","Cer","SL","MEM","42","1","2","","",""
"Cer 42:2;2","Cer","SL","MEM","42","2","2","","",""
"DAG 14:0;0-18:1;0","DAG","GL","MEM","32","1","0","14,18","0,1","0,0"
"DAG 16:0;0-16:0;0","DAG","GL","MEM","32","0","0","16,16","0,0","0,0"
"DAG 16:0;0-18:1;0","DAG","GL","MEM","34","1","0","16,18","0,1","0,0"
"DAG 16:0;0-18:2;0","DAG","GL","MEM","34","2","0","16,18","0,2","0,0"
"DAG 16:1;0-18:1;0","DAG","GL","MEM","34","2","0","16,18","1,1","0,0"
"DAG 18:1;0-18:1;0","DAG","GL","MEM","36","2","0","18,18","1,1","0,0"
"DAG 18:2;0-18:0;0","DAG","GL","MEM","36","2","0","18,18","2,0","0,0"
"DAG 18:2;0-18:1;0","DAG","GL","MEM","36","3","0","18,18","2,1","0,0"
"DAG 18:2;0-18:2;0","DAG","GL","MEM","36","4","0","18,18","2,2","0,0"
"DAG 18:3;0-18:1;0","DAG","GL","MEM","36","4","0","18,18","3,1","0,0"
"LPC 14:0;0","LPC","GPL","LYS","14","0","0","14","0","0"
"LPC 16:0;0","LPC","GPL","LYS","16","0","0","16","0","0"
"LPC 16:1;0","LPC","GPL","LYS","16","1","0","16","1","0"
"LPC 18:0;0","LPC","GPL","LYS","18","0","0","18","0","0"
"LPC 18:1;0","LPC","GPL","LYS","18","1","0","18","1","0"
"LPC 18:2;0","LPC","GPL","LYS","18","2","0","18","2","0"
"LPC 18:3;0","LPC","GPL","LYS","18","3","0","18","3","0"
"LPC 20:3;0","LPC","GPL","LYS","20","3","0","20","3","0"
"LPC 20:4;0","LPC","GPL","LYS","20","4","0","20","4","0"
"LPC 20:5;0","LPC","GPL","LYS","20","5","0","20","5","0"
"LPC 22:6;0","LPC","GPL","LYS","22","6","0","22","6","0"
"LPE 14:0;0","LPE","GPL","LYS","14","0","0","14","0","0"
"LPE 16:0;0","LPE","GPL","LYS","16","0","0","16","0","0"
"LPE 18:0;0","LPE","GPL","LYS","18","0","0","18","0","0"
"LPE 18:2;0","LPE","GPL","LYS","18","2","0","18","2","0"
"LPE 20:4;0","LPE","GPL","LYS","20","4","0","20","4","0"
"LPE 22:5;0","LPE","GPL","LYS","22","5","0","22","5","0"
"LPE 22:6;0","LPE","GPL","LYS","22","6","0","22","6","0"
"PC 16:0;0-14:0;0","PC","GPL","MEM","30","0","0","16,14","0,0","0,0"
"PC 16:0;0-16:0;0","PC","GPL","MEM","32","0","0","16,16","0,0","0,0"
"PC 16:0;0-16:1;0","PC","GPL","MEM","32","1","0","16,16","0,1","0,0"
"PC 17:1;0-16:0;0","PC","GPL","MEM","33","1","0","17,16","1,0","0,0"
"PC 18:0;0-16:0;0","PC","GPL","MEM","34","0","0","18,16","0,0","0,0"
"PC 18:0;0-18:1;0","PC","GPL","MEM","36","1","0","18,18","0,1","0,0"
"PC 18:0;0-18:2;0","PC","GPL","MEM","36","2","0","18,18","0,2","0,0"
"PC 18:0;0-18:3;0","PC","GPL","MEM","36","3","0","18,18","0,3","0,0"
"PC 18:1;0-14:0;0","PC","GPL","MEM","32","1","0","18,14","1,0","0,0"
"PC 18:1;0-15:0;0","PC","GPL","MEM","33","1","0","18,15","1,0","0,0"
"PC 18:1;0-16:0;0","PC","GPL","MEM","34","1","0","18,16","1,0","0,0"
"PC 18:1;0-16:1;0","PC","GPL","MEM","34","2","0","18,16","1,1","0,0"
"PC 18:1;0-18:1;0","PC","GPL","MEM","36","2","0","18,18","1,1","0,0"
"PC 18:1;0-18:2;0","PC","GPL","MEM","36","3","0","18,18","1,2","0,0"
"PC 18:2;0-14:0;0","PC","GPL","MEM","32","2","0","18,14","2,0","0,0"
"PC 18:2;0-15:0;0","PC","GPL","MEM","33","2","0","18,15","2,0","0,0"
"PC 18:2;0-16:0;0","PC","GPL","MEM","34","2","0","18,16","2,0","0,0"
"PC 18:2;0-16:1;0","PC","GPL","MEM","34","3","0","18,16","2,1","0,0"
"PC 18:2;0-17:0;0","PC","GPL","MEM","35","2","0","18,17","2,0","0,0"
"PC 18:2;0-18:2;0","PC","GPL","MEM","36","4","0","18,18","2,2","0,0"
"PC 18:3;0-16:0;0","PC","GPL","MEM","34","3","0","18,16","3,0","0,0"
"PC 20:1;0-16:0;0","PC","GPL","MEM","36","1","0","20,16","1,0","0,0"
"PC 20:2;0-16:0;0","PC","GPL","MEM","36","2","0","20,16","2,0","0,0"
"PC 20:2;0-18:0;0","PC","GPL","MEM","38","2","0","20,18","2,0","0,0"
"PC 20:3;0-16:0;0","PC","GPL","MEM","36","3","0","20,16","3,0","0,0"
"PC 20:3;0-17:0;0","PC","GPL","MEM","37","3","0","20,17","3,0","0,0"
"PC 20:3;0-18:0;0","PC","GPL","MEM","38","3","0","20,18","3,0","0,0"
"PC 20:3;0-18:1;0","PC","GPL","MEM","38","4","0","20,18","3,1","0,0"
"PC 20:3;0-18:2;0","PC","GPL","MEM","38","5","0","20,18","3,2","0,0"
"PC 20:4;0-16:0;0","PC","GPL","MEM","36","4","0","20,16","4,0","0,0"
"PC 20:4;0-17:0;0","PC","GPL","MEM","37","4","0","20,17","4,0","0,0"
"PC 20:4;0-18:0;0","PC","GPL","MEM","38","4","0","20,18","4,0","0,0"
"PC 20:4;0-18:1;0","PC","GPL","MEM","38","5","0","20,18","4,1","0,0"
"PC 20:4;0-18:2;0","PC","GPL","MEM","38","6","0","20,18","4,2","0,0"
"PC 20:5;0-16:0;0","PC","GPL","MEM","36","5","0","20,16","5,0","0,0"
"PC 20:5;0-18:0;0","PC","GPL","MEM","38","5","0","20,18","5,0","0,0"
"PC 22:4;0-16:0;0","PC","GPL","MEM","38","4","0","22,16","4,0","0,0"
"PC 22:5;0-16:0;0","PC","GPL","MEM","38","5","0","22,16","5,0","0,0"
"PC 22:5;0-18:0;0","PC","GPL","MEM","40","5","0","22,18","5,0","0,0"
"PC 22:6;0-16:0;0","PC","GPL","MEM","38","6","0","22,16","6,0","0,0"
"PC 22:6;0-18:0;0","PC","GPL","MEM","40","6","0","22,18","6,0","0,0"
"PC O- 16:0;0-16:1;0","PC O-","GPL","MEM","32","1","0","16,16","0,1","0,0"
"PC O- 16:0;0-18:1;0","PC O-","GPL","MEM","34","1","0","16,18","0,1","0,0"
"PC O- 16:0;0-18:2;0","PC O-","GPL","MEM","34","2","0","16,18","0,2","0,0"
"PC O- 16:0;0-20:3;0","PC O-","GPL","MEM","36","3","0","16,20","0,3","0,0"
"PC O- 16:0;0-20:4;0","PC O-","GPL","MEM","36","4","0","16,20","0,4","0,0"
"PC O- 16:0;0-22:4;0","PC O-","GPL","MEM","38","4","0","16,22","0,4","0,0"
"PC O- 16:0;0-22:5;0","PC O-","GPL","MEM","38","5","0","16,22","0,5","0,0"
"PC O- 16:1;0-16:0;0","PC O-","GPL","MEM","32","1","0","16,16","1,0","0,0"
"PC O- 16:1;0-18:0;0","PC O-","GPL","MEM","34","1","0","16,18","1,0","0,0"
"PC O- 16:1;0-18:1;0","PC O-","GPL","MEM","34","2","0","16,18","1,1","0,0"
"PC O- 16:1;0-18:2;0","PC O-","GPL","MEM","34","3","0","16,18","1,2","0,0"
"PC O- 16:1;0-20:3;0","PC O-","GPL","MEM","36","4","0","16,20","1,3","0,0"
"PC O- 16:1;0-20:4;0","PC O-","GPL","MEM","36","5","0","16,20","1,4","0,0"
"PC O- 16:2;0-16:0;0","PC O-","GPL","MEM","32","2","0","16,16","2,0","0,0"
"PC O- 16:2;0-18:0;0","PC O-","GPL","MEM","34","2","0","16,18","2,0","0,0"
"PC O- 17:0;0-17:1;0","PC O-","GPL","MEM","34","1","0","17,17","0,1","0,0"
"PC O- 17:0;0-20:5;0","PC O-","GPL","MEM","37","5","0","17,20","0,5","0,0"
"PC O- 17:1;0-20:4;0","PC O-","GPL","MEM","37","5","0","17,20","1,4","0,0"
"PC O- 18:0;0-16:1;0","PC O-","GPL","MEM","34","1","0","18,16","0,1","0,0"
"PC O- 18:0;0-18:2;0","PC O-","GPL","MEM","36","2","0","18,18","0,2","0,0"
"PC O- 18:0;0-20:4;0","PC O-","GPL","MEM","38","4","0","18,20","0,4","0,0"
"PC O- 18:1;0-16:0;0","PC O-","GPL","MEM","34","1","0","18,16","1,0","0,0"
"PC O- 18:1;0-18:1;0","PC O-","GPL","MEM","36","2","0","18,18","1,1","0,0"
"PC O- 18:1;0-18:2;0","PC O-","GPL","MEM","36","3","0","18,18","1,2","0,0"
"PC O- 18:1;0-20:3;0","PC O-","GPL","MEM","38","4","0","18,20","1,3","0,0"
"PC O- 18:1;0-20:4;0","PC O-","GPL","MEM","38","5","0","18,20","1,4","0,0"
"PC O- 18:2;0-16:0;0","PC O-","GPL","MEM","34","2","0","18,16","2,0","0,0"
"PC O- 18:2;0-18:0;0","PC O-","GPL","MEM","36","2","0","18,18","2,0","0,0"
"PC O- 18:2;0-18:1;0","PC O-","GPL","MEM","36","3","0","18,18","2,1","0,0"
"PC O- 18:2;0-18:2;0","PC O-","GPL","MEM","36","4","0","18,18","2,2","0,0"
"PC O- 18:2;0-20:4;0","PC O-","GPL","MEM","38","6","0","18,20","2,4","0,0"
"PE 16:0;0-18:1;0","PE","GPL","MEM","34","1","0","16,18","0,1","0,0"
"PE 16:0;0-18:2;0","PE","GPL","MEM","34","2","0","16,18","0,2","0,0"
"PE 16:0;0-20:4;0","PE","GPL","MEM","36","4","0","16,20","0,4","0,0"
"PE 18:0;0-20:4;0","PE","GPL","MEM","38","4","0","18,20","0,4","0,0"
"PE 18:1;0-18:0;0","PE","GPL","MEM","36","1","0","18,18","1,0","0,0"
"PE 18:1;0-18:1;0","PE","GPL","MEM","36","2","0","18,18","1,1","0,0"
"PE 18:1;0-20:4;0","PE","GPL","MEM","38","5","0","18,20","1,4","0,0"
"PE 18:2;0-18:0;0","PE","GPL","MEM","36","2","0","18,18","2,0","0,0"
"PE 18:2;0-18:1;0","PE","GPL","MEM","36","3","0","18,18","2,1","0,0"
"PE O- 16:1;0-18:1;0","PE O-","GPL","MEM","34","2","0","16,18","1,1","0,0"
"PE O- 16:1;0-18:2;0","PE O-","GPL","MEM","34","3","0","16,18","1,2","0,0"
"PE O- 16:1;0-20:4;0","PE O-","GPL","MEM","36","5","0","16,20","1,4","0,0"
