feature,al_young_1,al_young_2,al_young_3,al_young_4,dr_young_1,dr_young_2,dr_young_3,dr_young_4,networkId
CE,0.04389229721637952,0.11056311152653614,0.09385573725152613,0.06229997095827213,0.22162677002260778,0.16829870124891358,0.2068171962830043,0.2915684763008546,Cholesterolester
Cer,0.03379497349985543,0.03501154148017909,0.032562136731639935,0.02647896622287435,0.024638226242747016,0.019114777881214767,0.018708698319634,0.017588064736970256,Ceramide
CL,0.3366002442076049,0.21385727929141832,0.2848161893406677,0.26212398191744746,0.5872793381526706,0.8632279745774336,0.6763257111092003,0.49462176308696737,Cardiolipin_CL
CoA,0.20652739382827312,0.30701391428741515,0.36830159506490173,0.4638745647659566,0.8766835503116651,1.0535374846161623,1.1850941941036417,0.843122859899194,acylCoA
DG,25.200023244646246,28.121813375602155,17.593633053562694,26.11848105955844,21.101007384059354,22.528582477964466,24.009048358190352,26.41868804718552,1_2-DG
DG O-,0.9540494275013591,1.3578711766521492,0.6017165192298307,0.6960916081788483,0.8032611698793429,0.7335344258340444,0.5638950851270809,0.6146352767143035,DG-O
FA,45.937644535071684,43.3841518195751,51.18878432151932,46.37499585061843,44.921273164031554,38.174760864691656,39.942269465136356,44.79050663310406,fattyacid
LPA,0.003936731222139449,0.0018897943514464093,0.00222785269926016,0.002034790030555841,0.002574232636671338,0.001753916470980775,0.001627338477101792,0.0013873000914937405,LPA
LPC,0.38417646153935536,0.32061009608324575,0.4026626278980364,0.3718506219092051,0.4315377087739744,0.4198182158666735,0.4318796560614146,0.30973300595836245,LPC
LPC O-,0.0011476434886148119,9.093434884042222e-4,9.717961489240078e-4,0.0010815010259223228,0.0014991227637058718,0.0018636681894094668,0.0016606399555051672,0.0012725250985839605,LPC-O
LPE,0.08427402016338874,0.06274260836559224,0.07866472572851256,0.06505354027403416,0.07786867744785751,0.08225442148583724,0.08512874270419248,0.05294244509211635,LPE
LPE O-,0.002008658429564478,0.002045670153429674,0.0022588329763979526,0.0025705247516581925,0.004050504218039079,0.0037875327171023616,0.0034081024369280455,0.0025928966297611264,LPE-O
LPG,0.01111856321705202,0.004528231386933981,0.003937470744359706,0.0044807415850130336,0.010401548578490558,0.012210787015302198,0.014155573997716681,0.008779148333333868,LPG
LPI,0.19871068589073443,0.24428601124964955,0.3581837580692819,0.3187596741425313,0.3351571905961872,0.43325442236086165,0.6324858448290581,0.346397208492564,LPI
LPS,0.09150364933036556,0.09159818065954538,0.1497240785979741,0.1301486728845754,0.14098416463816452,0.15059415546755495,0.15931576271245929,0.12137111805598022,LPS
MG,0.15743210537733296,0.1425787077881819,0.18630967756934227,0.14876029685804795,0.12363870781992307,0.13772188700217478,0.14795872688982825,0.12337835414421139,MG
PA,0.14449910172140776,0.10526190152793942,0.12155470065877652,0.10583400679700151,0.1276985013743567,0.13173408473400344,0.10892378938121415,0.09116664330221416,PA
PC,11.909276838530937,10.309291280484901,12.34307213933073,11.916058936304086,15.673644765963267,19.317166456208696,17.529648489506872,12.763863484271978,PC
PC O-,0.17627037331586956,0.16844657719243836,0.1894273288663762,0.16087211534576265,0.22598388247543744,0.27605296016354003,0.32703921503604244,0.174518404320143,PC-O
PE,3.301705978976361,2.8170982363594734,3.120072991708141,2.8545335325045573,3.48661794345645,4.463033747811824,3.4272226974247637,2.863587836260104,PE
PE O-,1.3425714305041099,1.2520571519359072,1.5142898680213301,1.2228762624882408,1.3603522077883776,1.5355395440708406,1.6364169611372152,0.9862378790514116,PE-O
PG,0.09930011714094243,0.0784326518617773,0.09199707590209245,0.10905593226499995,0.18042352945806092,0.26049806522199304,0.3111730998491736,0.18484214499534143,PG
PI,3.404826132360929,2.8815030478234727,3.3326248846842756,3.0339438153010345,3.6434470601086533,4.0116676421279776,3.806852603983916,2.9540728423884963,PI
PS,1.4373301312393738,1.3166344399803689,1.4821245611286584,1.3922490096160471,1.6871041546056804,1.6907278990476438,1.6493322684428464,1.2807512986775387,PS
SM,2.692523506749863,2.345831940406217,2.596712794428008,2.3130796330030337,2.3938734764710445,2.47409008618026,2.634691615891259,2.415090848857462,Sphingomyelin
TG,1.8440676707250654,4.319528897990774,3.856096392395542,1.841232743783634,1.5558311624057999,1.0541952506327832,0.4886494871204646,1.846098342531533,TG
TG O-,7.880841051870473e-4,0.004443012495341496,0.003416889743400373,0.0011776469097981395,0.0015418557199107234,9.785504106461847e-4,2.706758927667115e-4,0.0011851524195063687,NA
