database	pathway	gene
neighborhood	MORF_ATRX	ADCY3
neighborhood	MORF_ATRX	SEC31A
neighborhood	MORF_ATRX	BTD
neighborhood	MORF_ATRX	LTBP4
neighborhood	MORF_ATRX	UTRN
neighborhood	MORF_ATRX	FIG4
neighborhood	MORF_ATRX	AQP5
neighborhood	MORF_ATRX	TMEM11
neighborhood	MORF_ATRX	HNRNPL
neighborhood	MORF_ATRX	TAF5L
neighborhood	MORF_ATRX	INSIG2
neighborhood	MORF_ATRX	AGPS
neighborhood	MORF_ATRX	LSM1
neighborhood	MORF_ATRX	PIK3CB
neighborhood	MORF_ATRX	HTR4
neighborhood	MORF_ATRX	UBR2
neighborhood	MORF_ATRX	ZNF500
neighborhood	MORF_ATRX	RFC5
neighborhood	MORF_ATRX	ST13
neighborhood	MORF_ATRX	SSTR5
neighborhood	MORF_ATRX	PCF11
neighborhood	MORF_ATRX	CLP1
neighborhood	MORF_ATRX	MSX1
neighborhood	MORF_ATRX	CEP350
neighborhood	MORF_ATRX	COLQ
neighborhood	MORF_ATRX	HTR7
neighborhood	MORF_ATRX	MC2R
neighborhood	MORF_ATRX	NEK9
neighborhood	MORF_ATRX	PIAS2
neighborhood	MORF_ATRX	AMFR
neighborhood	MORF_ATRX	PDXDC1
neighborhood	MORF_ATRX	ZNF133
neighborhood	MORF_ATRX	MRE11
neighborhood	MORF_ATRX	MTX1
neighborhood	MORF_ATRX	CACNB2
neighborhood	MORF_ATRX	TMCC1
neighborhood	MORF_ATRX	PRELID3A
neighborhood	MORF_ATRX	JRK
neighborhood	MORF_ATRX	PPP1R3D
neighborhood	MORF_ATRX	NTPCR
neighborhood	MORF_ATRX	NKRF
neighborhood	MORF_ATRX	MLN
neighborhood	MORF_ATRX	KLHDC10
neighborhood	MORF_ATRX	OARD1
neighborhood	MORF_ATRX	FDXR
neighborhood	MORF_ATRX	PAXIP1
neighborhood	MORF_ATRX	WDR62
neighborhood	MORF_ATRX	RSRP1
neighborhood	MORF_ATRX	IPCEF1
neighborhood	MORF_ATRX	COX6A2
neighborhood	MORF_ATRX	POP4
neighborhood	MORF_ATRX	TCF12
neighborhood	MORF_ATRX	RERE
neighborhood	MORF_ATRX	LTN1
neighborhood	MORF_ATRX	ZNF292
neighborhood	MORF_ATRX	LEPROTL1
neighborhood	MORF_ATRX	KAZN
neighborhood	MORF_ATRX	TTLL5
neighborhood	MORF_ATRX	KRT33A
neighborhood	MORF_ATRX	GTSE1
neighborhood	MORF_ATRX	SEC62
neighborhood	MORF_ATRX	PARN
neighborhood	MORF_ATRX	MIA2
neighborhood	MORF_ATRX	DNAJC16
neighborhood	MORF_ATRX	SLC24A1
neighborhood	MORF_ATRX	SYNJ2
neighborhood	MORF_ATRX	SIK3
neighborhood	MORF_ATRX	MC5R
neighborhood	MORF_ATRX	FANCG
neighborhood	MORF_ATRX	GOLGA3
neighborhood	MORF_ATRX	MSL3
neighborhood	MORF_ATRX	ZBTB22
neighborhood	MORF_ATRX	LPGAT1
neighborhood	MORF_ATRX	PIK3C2A
neighborhood	MORF_ATRX	MICAL3
neighborhood	MORF_ATRX	KIAA0586
neighborhood	MORF_ATRX	RBBP8
neighborhood	MORF_ATRX	SS18
neighborhood	MORF_ATRX	DOK1
neighborhood	MORF_ATRX	KANK2
neighborhood	MORF_ATRX	GRIP2
neighborhood	MORF_ATRX	CLOCK
neighborhood	MORF_ATRX	REV3L
neighborhood	MORF_ATRX	TMEM94
neighborhood	MORF_ATRX	ZNF271P
neighborhood	MORF_ATRX	POLR2K
neighborhood	MORF_ATRX	CETN3
neighborhood	MORF_ATRX	POLA1
neighborhood	MORF_ATRX	DIMT1
neighborhood	MORF_ATRX	ZNF32
neighborhood	MORF_ATRX	BCL2
neighborhood	MORF_ATRX	GPATCH8
neighborhood	MORF_ATRX	DTNA
neighborhood	MORF_ATRX	BRD1
neighborhood	MORF_ATRX	CEP135
neighborhood	MORF_ATRX	TBX5
neighborhood	MORF_ATRX	TRIM27
neighborhood	MORF_ATRX	PHF10
neighborhood	MORF_ATRX	CYP4F12
neighborhood	MORF_ATRX	MARCHF6
neighborhood	MORF_ATRX	ATRX
neighborhood	MORF_ATRX	KANK3
neighborhood	MORF_ATRX	SLC16A5
neighborhood	MORF_ATRX	YAF2
neighborhood	MORF_ATRX	GSK3B
neighborhood	MORF_ATRX	RASSF1
neighborhood	MORF_ATRX	PHF21A
neighborhood	MORF_ATRX	CMA1
neighborhood	MORF_ATRX	ATP6V0A2
neighborhood	MORF_ATRX	NRTN
neighborhood	MORF_ATRX	EIF5B
neighborhood	MORF_ATRX	GRIK5
neighborhood	MORF_ATRX	RPS6KB2
neighborhood	MORF_ATRX	IL13
neighborhood	MORF_ATRX	BPHL
neighborhood	MORF_ATRX	FNTB
neighborhood	MORF_ATRX	MUTYH
neighborhood	MORF_ATRX	SLC2A1
neighborhood	MORF_ATRX	SPRED2
neighborhood	MORF_ATRX	KAT8
neighborhood	MORF_ATRX	KRT86
neighborhood	MORF_ATRX	SLC4A3
neighborhood	MORF_ATRX	SCAMP1
neighborhood	MORF_ATRX	ZNF592
neighborhood	MORF_ATRX	CLPX
neighborhood	MORF_ATRX	TBC1D22A
neighborhood	MORF_ATRX	IGBP1
neighborhood	MORF_ATRX	HOXD4
neighborhood	MORF_ATRX	MGA
neighborhood	MORF_ATRX	VAMP4
neighborhood	MORF_ATRX	ERC1
neighborhood	MORF_ATRX	EP400
neighborhood	MORF_ATRX	PPP5C
neighborhood	MORF_ATRX	EXTL3
neighborhood	MORF_ATRX	PPIL2
neighborhood	MORF_ATRX	SNX4
neighborhood	MORF_ATRX	NR2C1
neighborhood	MORF_ATRX	ECE2
neighborhood	MORF_ATRX	NUMB
neighborhood	MORF_ATRX	AIMP1
neighborhood	MORF_ATRX	SLC30A3
neighborhood	MORF_ATRX	RUNX1
neighborhood	MORF_ATRX	RNF14
neighborhood	MORF_ATRX	TAF2
neighborhood	MORF_ATRX	CSTF3
neighborhood	MORF_ATRX	SLC6A11
neighborhood	MORF_ATRX	SMG1
neighborhood	MORF_ATRX	BRCA1
neighborhood	MORF_ATRX	IKBKE
neighborhood	MORF_ATRX	NMT1
neighborhood	MORF_ATRX	SLC25A11
neighborhood	MORF_ATRX	RAP1A
neighborhood	MORF_ATRX	IMPA1
neighborhood	MORF_ATRX	TLN2
neighborhood	MORF_ATRX	POU6F2
neighborhood	MORF_ATRX	SULT2B1
neighborhood	MORF_ATRX	PEX3
neighborhood	MORF_ATRX	ARHGAP12
neighborhood	MORF_ATRX	PLEKHB1
neighborhood	MORF_ATRX	PAX9
neighborhood	MORF_ATRX	PIGF
neighborhood	MORF_ATRX	ITIH4
neighborhood	MORF_ATRX	PIGB
neighborhood	MORF_ATRX	DNA2
neighborhood	MORF_ATRX	NCKIPSD
neighborhood	MORF_ATRX	TPR
neighborhood	MORF_ATRX	FOSL1
neighborhood	MORF_ATRX	KLHL20
neighborhood	MORF_ATRX	MT4
neighborhood	MORF_ATRX	NFX1
neighborhood	MORF_ATRX	NSL1
neighborhood	MORF_ATRX	C1orf216
neighborhood	MORF_ATRX	GLE1
neighborhood	MORF_ATRX	CYP11A1
neighborhood	MORF_ATRX	SPEF1
neighborhood	MORF_ATRX	TBCE
neighborhood	MORF_ATRX	ESR1
neighborhood	MORF_ATRX	SEZ6L
neighborhood	MORF_ATRX	RB1
neighborhood	MORF_ATRX	PIGR
neighborhood	MORF_ATRX	PCGF1
neighborhood	MORF_ATRX	MFN1
neighborhood	MORF_ATRX	KLHL18
neighborhood	MORF_ATRX	GCFC2
neighborhood	MORF_ATRX	GPR15
neighborhood	MORF_ATRX	KDM3B
neighborhood	MORF_ATRX	CPSF4
neighborhood	MORF_ATRX	SPAST
neighborhood	MORF_ATRX	FRYL
neighborhood	MORF_ATRX	TNFRSF25
neighborhood	MORF_ATRX	CAMK2G
neighborhood	MORF_ATRX	ADH5
neighborhood	MORF_ATRX	NFYB
neighborhood	MORF_ATRX	NR3C1
neighborhood	MORF_ATRX	CALCOCO1
neighborhood	MORF_ATRX	PSMF1
neighborhood	MORF_ATRX	CHD9
neighborhood	MORF_ATRX	CDYL
neighborhood	MORF_ATRX	FAM8A1
neighborhood	MORF_ATRX	TTI1
neighborhood	MORF_ATRX	INPP5E
neighborhood	MORF_ATRX	CDK13
neighborhood	MORF_ATRX	PAFAH1B1
neighborhood	MORF_ATRX	SH2B1
neighborhood	MORF_ATRX	CHD3
neighborhood	MORF_ATRX	DPT
neighborhood	MORF_ATRX	ERCC2
neighborhood	MORF_ATRX	BAHD1
neighborhood	MORF_ATRX	MSH3
neighborhood	MORF_ATRX	NFRKB
neighborhood	MORF_ATRX	FAM189A2
neighborhood	MORF_ATRX	UBE4B
neighborhood	MORF_ATRX	SMC5
neighborhood	MORF_ATRX	WIPF2
neighborhood	MORF_ATRX	IRF2
neighborhood	MORF_ATOX1	COA1
neighborhood	MORF_ATOX1	SEPHS2
neighborhood	MORF_ATOX1	COPS5
neighborhood	MORF_ATOX1	ATOX1
neighborhood	MORF_ATOX1	AP2S1
neighborhood	MORF_ATOX1	FAM20B
neighborhood	MORF_ATOX1	MORF4L2
neighborhood	MORF_ATOX1	TMBIM6
neighborhood	MORF_ATOX1	COX5A
neighborhood	MORF_ATOX1	HSBP1
neighborhood	MORF_ATOX1	ALG8
neighborhood	MORF_ATOX1	BUD31
neighborhood	MORF_ATOX1	CANX
neighborhood	MORF_ATOX1	RAB1A
neighborhood	MORF_ATOX1	TMEM147
neighborhood	MORF_ATOX1	PRMT1
neighborhood	MORF_ATOX1	PLOD3
neighborhood	MORF_ATOX1	PGRMC1
neighborhood	MORF_ATOX1	SLC25A1
neighborhood	MORF_ATOX1	EIF2B2
neighborhood	MORF_ATOX1	PSMD7
neighborhood	MORF_ATOX1	PSMD8
neighborhood	MORF_ATOX1	CLN3
neighborhood	MORF_ATOX1	SARS1
neighborhood	MORF_ATOX1	VTI1B
neighborhood	MORF_ATOX1	ATP6V1H
neighborhood	MORF_ATOX1	ATP6V1F
neighborhood	MORF_ATOX1	BCAP31
neighborhood	MORF_ATOX1	DCTN2
neighborhood	MORF_ATOX1	HARS2
neighborhood	MORF_ATOX1	TBCA
neighborhood	MORF_ATOX1	PSMA3
neighborhood	MORF_ATOX1	CSTB
neighborhood	MORF_ATOX1	RAB5A
neighborhood	MORF_ATOX1	DYNC1I2
neighborhood	MORF_ATOX1	SEC61G
neighborhood	MORF_ATOX1	UQCRB
neighborhood	MORF_ATOX1	SNRPG
neighborhood	MORF_ATOX1	POLR2H
neighborhood	MORF_ATOX1	RAD23B
neighborhood	MORF_ATOX1	CNIH1
neighborhood	MORF_ATOX1	SEM1
neighborhood	MORF_ATOX1	RER1
neighborhood	MORF_ATOX1	NEDD8
neighborhood	MORF_ATOX1	ARF5
neighborhood	MORF_ATOX1	ENSA
neighborhood	MORF_ATOX1	BANF1
neighborhood	MORF_ATOX1	RAB9A
neighborhood	MORF_ATOX1	KARS1
neighborhood	MORF_ATOX1	GGCT
neighborhood	MORF_ATOX1	PSMB5
neighborhood	MORF_ATOX1	PSMB4
neighborhood	MORF_ATOX1	SUMO1
neighborhood	MORF_ATOX1	PSMB6
neighborhood	MORF_ATOX1	TMED2
neighborhood	MORF_ATOX1	CENPB
neighborhood	MORF_ATOX1	PSMB2
neighborhood	MORF_ATOX1	RAC1
neighborhood	MORF_ATOX1	ETFA
neighborhood	MORF_ATOX1	AP2M1
neighborhood	MORF_ATOX1	SHMT1
neighborhood	MORF_ATOX1	ATP5MF
neighborhood	MORF_ATOX1	YWHAB
neighborhood	MORF_ATOX1	MYLPF
neighborhood	MORF_ATOX1	SOD1
neighborhood	MORF_ATOX1	CNPY2
neighborhood	MORF_ATOX1	DNPEP
neighborhood	MORF_ATOX1	GMFB
neighborhood	MORF_ATOX1	PPP1R7
neighborhood	MORF_ATOX1	PSMC4
neighborhood	MORF_ATOX1	SDHC
neighborhood	MORF_ATOX1	PRKAR1A
neighborhood	MORF_ATOX1	PSMC1
neighborhood	MORF_ATOX1	UBA1
neighborhood	MORF_ATOX1	ELOB
neighborhood	MORF_ATOX1	DPM1
neighborhood	MORF_ATOX1	PTPA
neighborhood	MORF_ATOX1	CFDP1
neighborhood	MORF_ATOX1	PDCD6
neighborhood	MORF_ATOX1	EIF4E2
neighborhood	MORF_BCL2	ADCY3
neighborhood	MORF_BCL2	SYT5
neighborhood	MORF_BCL2	LTBP4
neighborhood	MORF_BCL2	UTRN
neighborhood	MORF_BCL2	AQP5
neighborhood	MORF_BCL2	AQP7
neighborhood	MORF_BCL2	TMEM11
neighborhood	MORF_BCL2	KIFC3
neighborhood	MORF_BCL2	HTR1B
neighborhood	MORF_BCL2	DDX11
neighborhood	MORF_BCL2	AGPS
neighborhood	MORF_BCL2	KRR1
neighborhood	MORF_BCL2	ARC
neighborhood	MORF_BCL2	CRYAA
neighborhood	MORF_BCL2	CD3E
neighborhood	MORF_BCL2	PIK3CB
neighborhood	MORF_BCL2	HTR4
neighborhood	MORF_BCL2	F7
neighborhood	MORF_BCL2	ZNF500
neighborhood	MORF_BCL2	SSTR5
neighborhood	MORF_BCL2	CRHR2
neighborhood	MORF_BCL2	MSX1
neighborhood	MORF_BCL2	COLQ
neighborhood	MORF_BCL2	HTR7
neighborhood	MORF_BCL2	MC2R
neighborhood	MORF_BCL2	AMFR
neighborhood	MORF_BCL2	CDK5R1
neighborhood	MORF_BCL2	ALDOC
neighborhood	MORF_BCL2	CLBA1
neighborhood	MORF_BCL2	MYO9B
neighborhood	MORF_BCL2	STK17A
neighborhood	MORF_BCL2	KCNMB1
neighborhood	MORF_BCL2	ADCYAP1
neighborhood	MORF_BCL2	EPHB2
