database	pathway	gene
HALLMARK	TNFA_SIGNALING_VIA_NFKB	JUNB
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CXCL2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	ATF3
HALLMARK	TNFA_SIGNALING_VIA_NFKB	NFKBIA
HALLMARK	TNFA_SIGNALING_VIA_NFKB	TNFAIP3
HALLMARK	TNFA_SIGNALING_VIA_NFKB	PTGS2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CXCL1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	IER3
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CD83
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CCL20
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CXCL3
HALLMARK	TNFA_SIGNALING_VIA_NFKB	MAFF
HALLMARK	TNFA_SIGNALING_VIA_NFKB	NFKB2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	TNFAIP2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	HBEGF
HALLMARK	TNFA_SIGNALING_VIA_NFKB	KLF6
HALLMARK	TNFA_SIGNALING_VIA_NFKB	BIRC3
HALLMARK	TNFA_SIGNALING_VIA_NFKB	PLAUR
HALLMARK	TNFA_SIGNALING_VIA_NFKB	ZFP36
HALLMARK	TNFA_SIGNALING_VIA_NFKB	ICAM1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	JUN
HALLMARK	TNFA_SIGNALING_VIA_NFKB	EGR3
HALLMARK	TNFA_SIGNALING_VIA_NFKB	IL1B
HALLMARK	TNFA_SIGNALING_VIA_NFKB	BCL2A1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	PPP1R15A
HALLMARK	TNFA_SIGNALING_VIA_NFKB	ZC3H12A
HALLMARK	TNFA_SIGNALING_VIA_NFKB	SOD2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	NR4A2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	IL1A
HALLMARK	TNFA_SIGNALING_VIA_NFKB	RELB
HALLMARK	TNFA_SIGNALING_VIA_NFKB	TRAF1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	BTG2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	DUSP1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	MAP3K8
HALLMARK	TNFA_SIGNALING_VIA_NFKB	ETS2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	F3
HALLMARK	TNFA_SIGNALING_VIA_NFKB	SDC4
HALLMARK	TNFA_SIGNALING_VIA_NFKB	EGR1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	IL6
HALLMARK	TNFA_SIGNALING_VIA_NFKB	TNF
HALLMARK	TNFA_SIGNALING_VIA_NFKB	KDM6B
HALLMARK	TNFA_SIGNALING_VIA_NFKB	NFKB1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	LIF
HALLMARK	TNFA_SIGNALING_VIA_NFKB	PTX3
HALLMARK	TNFA_SIGNALING_VIA_NFKB	FOSL1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	NR4A1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	JAG1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CCL4
HALLMARK	TNFA_SIGNALING_VIA_NFKB	GCH1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CCL2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	RCAN1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	DUSP2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	EHD1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	IER2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	REL
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CFLAR
HALLMARK	TNFA_SIGNALING_VIA_NFKB	RIPK2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	NFKBIE
HALLMARK	TNFA_SIGNALING_VIA_NFKB	NR4A3
HALLMARK	TNFA_SIGNALING_VIA_NFKB	PHLDA1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	IER5
HALLMARK	TNFA_SIGNALING_VIA_NFKB	TNFSF9
HALLMARK	TNFA_SIGNALING_VIA_NFKB	GEM
HALLMARK	TNFA_SIGNALING_VIA_NFKB	GADD45A
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CXCL10
HALLMARK	TNFA_SIGNALING_VIA_NFKB	PLK2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	BHLHE40
HALLMARK	TNFA_SIGNALING_VIA_NFKB	EGR2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	SOCS3
HALLMARK	TNFA_SIGNALING_VIA_NFKB	SLC2A6
HALLMARK	TNFA_SIGNALING_VIA_NFKB	PTGER4
HALLMARK	TNFA_SIGNALING_VIA_NFKB	DUSP5
HALLMARK	TNFA_SIGNALING_VIA_NFKB	SERPINB2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	NFIL3
HALLMARK	TNFA_SIGNALING_VIA_NFKB	SERPINE1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	TRIB1
HALLMARK	TNFA_SIGNALING_VIA_NFKB	TIPARP
HALLMARK	TNFA_SIGNALING_VIA_NFKB	RELA
HALLMARK	TNFA_SIGNALING_VIA_NFKB	BIRC2
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CXCL6
HALLMARK	TNFA_SIGNALING_VIA_NFKB	LITAF
HALLMARK	TNFA_SIGNALING_VIA_NFKB	TNFAIP6
HALLMARK	TNFA_SIGNALING_VIA_NFKB	CD44
HALLMARK	TNFA_SIGNALING_VIA_NFKB	INHBA
