OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B
Bcar1	Pik3r1
Ctbp1	Nos1
Picalm	Ehd2
Ehd2	Slc2a4
Baiap2	Dlg3
Baiap2	Eps8l1
Baiap2	Cnksr3
Baiap2	Dlg1
Baiap2	Magi2
Baiap2	Lin7b
Agap2	Homer1
Agap2	Homer2
Adora1	Epb41l2
Glrb	Gphn
Glrb	Pfn1
Gphn	Pfn1
Gphn	Pfn2
Gphn	Enah
Epn1	Tuba1a
Tuba1a	Epn2
Arc	Tfpt
Smarca4	Smarcb1
Ncald	Cltc
Ncald	Actb
Ncald	Gapdh
Clic4	Ywhae
Clic4	Ywhaz
Clic4	Actb
Clic4	Dnm1
Pld2	Actb
Ppara	Dut
Gabarap	Gabrg1
Gabarap	Gabrg2
Gabarap	Gphn
Pex5	Hspa4
Apba1	Stxbp1
Apba1	Stx1a
Apba1	Snap25
Apba2	Stxbp1
Apba2	Stx1a
Snap29	Ap2a1
Igf1r	Ehd1
Igf1r	Snap29
Snap29	Ehd1
Lepr	Apod
Pik3r2	Irs1
Pik3r2	Irs2
Rac1	Tuba1a
Rac1	Tubb2b
Gabrr3	Sqstm1
Slc40a1	Sqstm1
Sqstm1	Prkcz
Sqstm1	Kcnab2
Cib1	Plk2
Cib1	Plk3
Myo7a	Keap1
Sdcbp2	Sdcbp
Caskin1	Cask
Adrb2	Akap5
Adrb2	Prkcg
Tcf3	Twist1
Tcf3	Id3
Tcf3	Psmd9
Tsc1	Ren
Tsc1	Tsc2
Nefl	Tsc2
Irs1	Pik3r1
Nefl	Tsc1
Pik3r1	Thra
Coasy	Rps6kb1
Mtor	Eif4ebp1
Eif4e	Eif4ebp1
Tnr	Bcan
Slc12a3	Pdia3
Uxs1	Akt1
Nutf2	Ran
Amph	Dnm1
Sos1	Pacsin1
Strbp	Eif2ak2
Pxn	Ilk
Sorbs2	Dlgap1
Nos1	Cav3
Ywhab	Snca
Snca	Prkce
Snca	Prkca
Snca	Prkcg
Bad	Snca
Snca	Raf1
Snca	Map2k1
Snca	Th
Ebf1	Zfp423
Kiss1r	Kiss1
Dapk3	Pawr
Dapk3	Rab3ip
Dapk3	Atf4
Dapk3	Tpm1
Dapk3	Aatf
Homer1	Shank1
Homer1	Shank3
Shank3	Dlgap3
Shank3	Grm5
Gfra1	Gdnf
Kcna2	Cttn
Rabif	Rab15
Plcg1	Snap91
Kcnab1	Kcna2
Epn1	Zbtb16
Scnn1g	Wwp1
Scnn1g	Tsg101
Safb	Khdrbs3
Khdrbs3	Khdrbs1
Khdrbs3	Rbmx
Khdrbs3	Ythdc1
Slc40a1	Prkcz
Slc40a1	Kcnab2
Kcnab2	Prkcz
Slc40a1	Kcnab1
Prkcz	Fez1
Crhr2	Ucn
Ube2i	Nr3c1
Rph3al	Rab3a
Synj1	Eps15
Atp1a1	Cfl1
Sstr2	Shank2
Lrrc41	Tceb1
Lrrc41	Tceb2
Tceb2	Tceb1
Ap1g2	Synrg
Stx1a	Stxbp1
Stx1b	Stxbp1
Stx3	Stxbp1
Nptxr	Nptx1
Ucn	Crhr1
Lamc1	Klf4
Nolc1	Cebpb
Cebpb	Gtf2b
Ntrk2	Gipc1
Lrrc7	Camk2a
Bckdk	Bckdhb
Pld2	Gm2a
Dcx	Nfasc
Nrxn1	Cask
Nrxn3	Cask
Nrxn2	Cask
Cask	Apba1
Dlg1	Mpp3
Dlg1	Cask
Dlg1	Dlg2
Nrxn1	Apba1
Nrxn1	Apba2
Ogt	Trak2
Trpc1	Trpc4
Trpc1	Trpc5
Nr0b2	Esr2
Itsn1	Wasl
Slc4a7	Cftr
Dlgap1	Shank1
Dlgap1	Shank3
Gsk3b	E2f1
Numbl	Aup1
Usp9x	Nuak1
Ntrk1	Sqstm1
Ntrk1	Cyld
Cdkn1b	Skp2
Rb1	E2f1
Ncam1	Ubb
Ap1m1	March11
Lin7a	March11
March11	Lin7c
Cdk5	Park2
Arf6	Pex3
Arf6	Abcd3
Runx2	Hdac4
Slc6a3	Nedd4
Slc6a3	Eps15
Slc6a3	Epn1
Hr	Hdac3
Hr	Hdac2
Hr	Hdac1
Npm3	Tnp2
Kat2b	Tnp2
Ep300	Tnp2
Rela	Hdac1
Rest	Hdac4
Rest	Hdac5
Tspy1	Hist3h2a
Tspy1	Hist1h2bl
Elk1	Srf
Mkl1	Srf
Zeb1	Srf
Smad3	Zeb1
Ogt	Atxn10
Epc1	Ep300
Myc	Brf1
Ephb1	Brf1
Rb1	Brf1
Crebbp	Fgfr1
Siah1	Sncaip
Suv39h1	Rbl2
Hdac1	Rbl2
Crebbp	Cebpb
Crebbp	Sox9
Ep300	Cebpb
Dnmt3b	Hdac2
Wnt3a	Lrp6
Parp1	Hes1
Parp1	Tle1
Parp1	Rad50
Parp1	Top2b
Parp1	Ncl
Parp1	Sfpq
Parp1	Npm1
Parp1	Polr2a
Parp1	H3f3b
Parp1	Hist1h4b
Parp1	Crebbp
Parp1	Kat2b
Parp1	Src
Parp1	Taf1
Parp1	Camk2a
Hes1	Polr2a
Hes1	Crebbp
Hes1	Kat2b
Hes1	Src
Hes1	Camk2a
Hes1	Sfpq
Shc1	Grb2
Vdr	Runx2
Gtf2b	Crebbp
Gtf2b	Ep300
Prkca	Hmgb1
Prkcb	Hmgb1
Prkcg	Hmgb1
Prkcd	Hmgb1
Cyp2e1	Hsp90aa1
Cyp2e1	Hspa4
Cyp1a1	Hsp90aa1
Cyp1a1	Hspa4
Cyp2b1	Hsp90aa1
Cyp2b1	Hspa4
Cyp27a1	Hspa4
Crebbp	Pou1f1
Sp1	Snurf
Snurf	Sf1
Cyp3a23/3a1	Ubc
Dvl1	Cxxc4
Axin1	Dvl1
Ctnnb1	Cxxc4
Myc	Kdm1a
Klf4	Smad2
Klf4	Smad3
Mapk3	Prkca
Mapk3	Mapk1
Mapk3	Cnn3
Mapk1	Prkca
Mapk1	Cnn3
Cnn3	Prkca
Cnn1	Mapk1
Ubc	Itpr3
Ret	Ubc
Cbl	Ret
Tp53	Hsp90aa1
Tp53	Hspa4
Tp53	Cyp27b1
Ubxn2b	Vcp
Ubc	Vcp
Cdk9	Gata4
Ep300	Gata4
Tacr1	Ubc
Tradd	Ubc
Prkcd	Ubc
Prkca	Ubc
Prkce	Ubc
Ahr	Ubc
Ahr	Aip
Ahr	Hsp90aa1
Ahr	Arnt
Traf6	Numbl
Cdkn1b	Rnf123
Creb1	Ubc
Kcnq3	Nedd4
Nedd4	Kcnq2
Kcnq3	Ubc
Kcnq2	Ubc
Itpr1	Ubc
Itpr2	Ubc
Pten	Ubc
Pten	Nedd4
Cks1b	Skp2
Skp2	Kras
Skp2	Cdkn1c
Skp2	Rbl2
Cdk4	Rassf1
Skp2	Rassf1
Ubc	Kras
Ubc	Cdkn1b
Ubc	Cdkn1c
Ubc	Rbl2
Ubc	Rassf1
Ubr2	Ube2b
Foxo1	Sirt1
Cyp3a62	Ubc
Egfr	Cbl
Egfr	Ubc
Cbl	Spry2
Cbl	Ubc
Rnf187	Jun
Cbl	Irs1
Kcnq1	Ubc
Snca	Siah1
Siah2	Snca
Trpv4	Arrb1
Trpv4	Agtr1a
Stub1	Nefm
Ksr1	Map2k1
Ksr1	Map2k2
Ksr1	Ywhab
Ksr1	Hsp90aa1
Ksr1	Cdc37
Cdk4	Runx3
Gpsm1	Usp9x
Mib1	Ago2
Mib1	Nipsnap1
Mib1	Rab11fip2
Mib1	Kif2a
Mib1	Kif21a
Mib1	Eea1
Mib1	Kpnb1
Mib1	Kpna1
Mib1	Csnk2a1
Mib1	Pptc7
Mib1	Cdk5
Mib1	Mark1
Mib1	Brcc3
Mib1	Usp9x
Mib1	Coro1a
Mib1	Dtna
Mib1	Dtnb
Mib1	Sntb1
Mib1	Sdc4
Mib1	Ctnnd1
Mib1	Hnrnpul1
Mib1	Psmd14
Mib1	Cdk5r1
Cdk5r1	Cdk5
Cacna1c	Vcp
Cacna1c	Derl1
Trim13	Cacna1c
Erlin1	Erlin2
Cdk2	Kras
Kras	Cdc27
Kras	Cdc20
Cdc27	Cdc20
Tp53	Ubc
Tp53	Mdm2
Usp9x	Snca
Irs4	Asb4
Hif1a	Cul2
Hif1a	Vhl
Hif1a	Mdm2
Hif1a	Ubc
Grm5	Gopc
Ubc	Gad2
Ubc	Gad1
Ctnnd2	Ubc
Ctnnd2	Apc
Ctnnd2	Ctnnb1
Ctnnd2	Gsk3b
Ctnnb1	Apc
Gsk3b	Ctnnb1
Gsk3b	Apc
Cdkn1b	Rchy1
Tnni3	Ubc
Tnnt2	Ubc
Dcn	Ubc
Calm1	Pth1r
Calm1	Pth2r
Calm1	Vipr2
Calm1	Vipr1
Calm1	Crhr1
Calm1	Calcr
Calm1	Glp1r
Calm1	Glp2r
Calm1	Sctr
Esr1	Ubc
Esr1	Stub1
Esr1	Bag1
Stub1	Bag1
Esr2	Ubc
Esr1	Nedd8
Drd1	Grin1
Drd1	Grin2a
Grin1	Grin2a
Cebpg	E2f4
Cebpg	Rb1
Cebpg	Smarcd2
Slc2a1	Ubc
Ubc	Arrb2
Grm8	Flna
Grm8	Hipk2
Grm8	Pias1
Grm8	Pias3
Grm8	Rock2
Grm8	Ube2i
Grm8	Ube2m
Grm8	Cbx4
Kcnip3	Sumo1
Kcnb1	Sumo2
Kcnb1	Sumo3
Kcnb1	Sumo1
Kcnb1	Ube2i
Gorasp1	Ubc
Gorasp1	Fbxw8
Stx1a	Snap25
Stx1a	Vamp2
Sumo3	Akr1b1
Sumo3	Myh9
Sumo3	Rpn1
Sumo3	Ube2i
Sumo3	Runx1
Sumo3	Serpinh1
Sumo3	Eef2
Sumo3	Hnrnpa1
Sumo3	Ldha
Sumo3	Ppp2ca
Sumo3	Ubc
Sumo3	Acta1
Sumo3	Cltc
Sumo3	Eif2s1
Sumo3	Sox10
Sumo3	Anxa2
Sumo3	Nop58
Sumo3	Tuba1a
Sumo3	Safb
Sumo3	Rps14
Sumo3	Arf2
Sumo3	Hspa8
Sumo3	Prmt1
Sumo3	Ptbp1
Sumo3	Lig1
Sumo3	Msn
Sumo3	Gnai2
Sumo3	Msh2
Sumo3	Vdac1
Sumo3	Vdac2
Sumo3	Nefl
Sumo3	Impa1
Sumo3	Vim
Sumo3	Pgam1
Sumo3	Pias2
Sumo3	Rab14
Sumo3	Gnb2l1
Sumo3	Xpnpep1
Sumo3	Zhx1
Sumo3	Gbp2
Sumo3	Nacc1
Sumo3	Slc25a3
Sumo3	Hspa4
Sumo3	Gstp1
Sumo3	Hnrnpf
Sumo3	Tubb5
Sumo3	Eef1a1
Sumo3	Hsp90aa1
Sumo3	Rpl3
Sumo3	Cct3
Sumo3	Pgk1
Sumo3	Gdi2
Sumo3	Atp5a1
Sumo3	Aco2
Sumo3	Eif4a1
Sumo3	Pfn1
Sumo3	Mdh2
Sumo3	Rab1a
Sumo3	Krt5
Sumo3	Lmna
Sumo3	Ddx39b
Sumo3	Cct5
Sumo3	Pa2g4
Sumo3	Eef1g
Sumo3	Eif3d
Sumo3	Rap1a
Sumo3	Atp5b
Sumo3	Tuba4a
Sumo3	Tars
Sumo3	Arhgdia
Sumo3	Ddx5
Sumo3	Arcn1
Sumo3	Galk1
Sumo3	Brd8
Sumo3	Krt10
Sumo3	Rps3
Sumo3	Kif22
Sumo3	Sumo1
Sumo3	Nup93
Sumo3	Tardbp
Sumo3	Sae1
Sumo3	Rangap1
Sumo3	Cap1
Sumo3	Nono
Sumo3	Zbtb38
Sumo3	Phb2
Sumo3	Pcbp2
Sumo3	Matr3
Sumo3	Aldoart2
Sumo3	Hnrnph2
Sumo3	Uba1
Sumo3	Wdr1
Sumo3	Idh2
Sumo3	Wars
Sumo3	RGD1561179
Sumo3	LOC297756
Sumo3	Eprs
Sumo3	Sox6
Sumo3	Hnrnpc
Sumo3	Rpl11
Sumo3	Zeb2
Sumo3	Actn4
Sumo3	Gtf2i
Sumo3	Nxf7
Sumo3	Eif6
Sumo3	Numa1
Sumo3	Tead1
Sumo3	RGD1561333
Sumo3	Trim33
Sumo3	Pml
Sumo3	RGD1565368
Sumo3	RGD1565900
Sumo3	Mcm3
Sumo3	Hdac1l
Sumo3	Rbm25l1
Sumo3	COX2
Sumo3	Tubb2b
Sumo3	Trim24
Sumo3	LOC306079
Sumo3	Krt1
Sumo3	Thop1
Sumo3	Mcm7
Sumo3	Hsp90ab1
Sumo3	Gnb1
Sumo3	Hnrnpu
Sumo3	Hnrnpa2b1
Sumo3	Rab5c
Sumo3	Zbtb20
Sumo3	Prpf40a
Sumo3	Zmiz1
Sumo3	Ccar1
Sumo3	Znhit6
Sumo3	Irf2bp1
Sumo3	Usp39
Sumo3	Ncor2
Sumo3	Wiz
Sumo3	Kdm5b
Sumo3	Morc3
Sumo3	Dhx9
Sumo3	Rps6ka5
Sumo3	Ddx3x
Sumo3	Nfat5
Sumo3	Bcl11b
Sumo3	Hnrnpul1
Sumo3	Hnrnpm
Sumo3	Atn1
Sumo3	Myef2
Sumo3	Xpo5
Sumo3	Rpl6
Sumo3	Tcerg1
Sumo3	Kdm1a
Sumo3	Uba2
Sumo3	Rad54l2
Sumo3	Hnrnpl
Sumo3	Pias4
Sumo3	Nab2
Sumo3	Fscn1
Sumo3	Trim28
Sumo3	Nars
Sumo3	Plec
Sumo3	Rasl2-9
Sumo3	Mcm4
Sumo3	Ccar2
Sumo3	Top2b
Sumo3	Chd3
Sumo3	Rgsl1
Sumo3	LOC679539
Sumo3	LOC680097
Sumo3	LOC687295
Sumo3	Slc25a31
Sumo3	Eno1-ps1
Sumo3	Actr3b
Sumo3	Smchd1
Sumo3	LOC681410
Sumo3	LOC100360950
Sumo3	Potef
Sumo3	Rsf1
Sumo3	Hnrnpul2
Sumo3	RGD1564606
Sumo3	Prdx1l1
Sumo3	Gars
Sumo3	Pcbp1
Sumo3	Sumo2l
Sumo3	LOC100359916
Sumo3	Cbx4
Sumo3	Flnc
Ncoa3	Sumo1
Ikbkg	Sumo1
Ss18	Pias4
Ssx1	Pias4
Pias4	Sumo1
Ssx1	Ncoa3
Ncoa3	Ubc
Ube2i	Akap9
Hmox1	Ubc
Tceb3	Tceb1
Tceb3	Tceb2
Trim2	Bcl2l11
Bcl2l11	Ubc
Brdt	Top1
Brdt	Sfpq
Brdt	Hsp90aa1
Brdt	Hnrnpl
Brdt	Smarce1
Brdt	Erp44
Brdt	Actb
Brdt	Elavl1
Slc14a2	Ubc
Mdm2	Slc14a2
Ubc	Myc
Bad	Ywhab
Ntrk1	Ubc
Ntrk1	Psmc2
Ntrk1	Rab7a
Ntrk1	Ctsd
Ntrk1	Psmb10
Apoa1	Lcat
S100b	Ager
Pdlim2	Flna
Pdlim2	Myo6
Pdlim2	Actn1
Pdlim2	Actn4
Pdlim2	Myh9
Rbck1	Prkcz
Rbck1	Prkcb
Mdm2	Bcl2l1
Mdm2	Ubc
Ubc	Ppara
Mdm2	Ppara
Stx2	Stxbp1
Stxbp2	Stx1a
Stxbp2	Stx3
Stx2	Stxbp2
Stx4	Stxbp1
Gchfr	Gch1
Cd2ap	Nphs1
Nphs1	Cask
Nphs1	Ctnnd1
Mdm2	Sumo1
Mapk14	Tab1
Itgb1	Dmd
Itgb1	Tln1
Itgb1	Pxn
Itgb1	Ptk2
Dmd	Tln1
Dmd	Dag1
Dmd	Ptk2
Dmd	Actb
Itgb1	Actb
Glg1	Fgf2
Tirap	Prkcd
Tirap	Prkch
Sstr3	Mpdz
Arrb2	Adrb2
Adrb2	Ubc
Dusp1	Ubc
Traf6	Zfp110
Zfp110	Sqstm1
Sqstm1	Traf6
Ntrk1	Ngfr
Ntrk1	Traf6
Ntrk1	Ube2l3
Traf4	Ube2l3
Traf4	Sqstm1
Ntrk1	Shc1
Mef2d	Ubc
Itpr1	Vcp
Itpr1	Ufd1l
Itpr1	Ube4a
Fbxo2	Grin1
Kcnj1	Ubc
Nedd4	Ywhah
Nedd4	Ywhab
Nedd4	Ywhag
Nedd4	Ywhae
Nedd4	Ywhaq
Sh3gl1	Ubc
Wasf2	Ubc
Sorbs2	Sh3gl1
Sorbs2	Synj1
Sorbs2	Dnm1
Sorbs2	Dnm2
Ocln	Itch
Ocln	Ubc
Sub1	Tp53
Irs1	Ubc
Irs1	Mdm2
Nfkb1	Hist3h3
Nfkb1	Hist1h4b
Gja1	Ubc
Ctnnb1	Ubc
Cd2ap	Bcr
Cbl	Flt1
Epn1	Ubc
Eps15	Ubc
Usp9x	Epn1
Dlg4	Ubc
Dlg4	Mdm2
Lyn	Ubc
Fyn	Ubc
Lyn	Cbl
Ubc	Xiap
Socs1	Jak2
Smad2	Ubc
Hspd1	Bax
Hspd1	Bcl2l1
Ubc	Bcl2l1
Vhl	Epas1
Ubc	Epas1
Ubc	Arrb1
Ubc	Ucp1
Cnn1	Acta1
Cnn1	Prkca
Ndfip1	Nedd4
Cdk4	Kras
Ccne1	Kras
Ccnd2	Kras
Cdk4	Ccnd2
Cdk2	Ccnd2
Ccne1	Cdk2
Cdc27	Cdh1
Cdh1	Ccna1
Cdh1	Cdk2
Itpr1	Erlin2
C2	Psmd3
C2	Psmc1
C2	Psmc3
C2	Psmc4
C2	Psmc2
C2	S8
C2	Psmd7
C2	C9
C2	Psma3
C2	C6
C2	Psma6
C2	Psma5
C2	C3
C2	Psmb6
C2	C7
C2	Psmd14
Psmc5	Psmc3
Psmc5	Psmd7
Psmc3	Psmd7
Psmc3	Psme3
Fmr1	Ubc
Ccne1	Hist1h1a
Cdk2	Hist1h1a
Cdk1	Hist1h1a
Ccna1	Hist1h1a
Psmc1	Psmc5
Tbp	Psmc5
Tbp	Psmc1
Tbp	Psmc2
Psmc5	Psmc2
Tbp	Cand1
Cand1	Psmc5
Cand1	Psmc2
Camk2a	Psmc5
Psma2	Camk2a
Canx	Homer3
Canx	Psmc5
Canx	Grm1
Psma2	Homer3
Psma2	Psmc5
Psma2	Grm1
Prkca	Mbp
Prkca	Hist3h3
Prkca	Gys1
Prkca	Egfr
Mef2d	Klf6
Prkaca	Mef2d
Mef2d	Hdac4
Foxg1	Tle1
Dab1	Capza1
Dab1	Capzb
Ddn	Magi2
Rara	Ybx1
Rara	Klf4
Rara	Sp1
Ybx1	Klf4
Ybx1	Sp1
Klf4	Sp1
Adam15	Sgip1
Amph	Synj1
Bin1	Synj1
Bin1	Dnm1
Amph	Synm
Amph	Ap2a2
Ctbp1	Ikzf1
Crem	Ubc
Tap2	Tap1
Rad23b	Myh4
Rad23b	Myom1
Rad23b	Rpn2
Rad23b	Rpn1
Rad23b	Hspa4
Rad23b	Psmd3
Rad23b	Usp5
Rad23b	Vcp
Rad23b	Psmc3
Rad23b	Psmd14
Rad23b	Usp14
Rad23b	Ubc
Vcp	Usp5
Rad23b	Psme4
Rad23b	Psme1
Rad23b	Psme3
Rad23b	Stat1
Rad23b	Eef1a1
Rad23b	Eef2
Rad23b	Nploc4
Rad23b	Ufd1l
Rad23b	Nsfl1c
Rad23b	Ubxn1
Rad23b	Psmf1
Rad23b	Adrm1
Rad23b	Uchl5
Rad23b	Ube3a
Rad23b	Sqstm1
Rad23b	Ubr4
Rad23b	Herc1
Rad23b	Usp7
Rad23b	Actc1
Rad23b	Actb
Rad23b	Dctn2
Rad23b	Myl1
Rad23b	Tpm1
Rad23b	Tpm2
Rad23b	Tnnc2
Rad23b	Tnnt3
Rad23b	Vim
Rad23b	Gapdh
Rad23b	Aldoart2
Rad23b	Aldoc
Rad23b	Pkm
Rad23b	Tpi1
Rad23b	Ckm
Rad23b	Cat
Rad23b	Arg1
Rad23b	Tgm1
Rad23b	Tgm3
Rad23b	Fasn
Rad23b	Anxa1
Rad23b	Anxa2
Rad23b	Pof1b
Rad23b	Gbas
Rad23b	Gfap
Rad23b	RGD1560349
Rad23b	Thbs4
Rad23b	Prdx1
