interactor_A	interactor_B	confidence_value
Clock	Arntl	0.97016686
Cdk4	Ccnd1	0.9443614
Snap25	Vamp2	0.93674296
Grin1	Dlg4	0.92613506
Arntl	Cry1	0.9189078
Prkaca	Prkar2b	0.9188625
Mdm2	Trp53	0.9176927
Nfkbia	Rela	0.9121886
Rbbp5	Ash2l	0.9009506
Shc1	Grb2	0.89886165
Rnf2	Bmi1	0.89006025
Fadd	Ripk1	0.8856415
Naip5	Nlrc4	0.88542986
Dlg4	Grin2a	0.8801234
Mtor	Rictor	0.8762403
Pmaip1	Mcl1	0.86884445
Eed	Ezh2	0.85770416
Cry1	Clock	0.8500808
Pcdh15	Cdh23	0.847632
Mcl1	Bcl2l11	0.8402955
Parva	Ilk	0.8319265
Arntl	Cry2	0.82876873
Rnf2	Pcgf2	0.8284781
Notch1	Rbpj	0.8222213
Sh2d1a	Slamf1	0.82094485
Slamf1	Fyn	0.8196993
Tlr4	Ly96	0.81672114
Suz12	Jarid2	0.8160858
Casp8	Fadd	0.8128891
Suz12	Ezh2	0.8027005
Bbs1	Bbs2	0.8027005
Ndel1	Pafah1b1	0.8018699
Rbbp5	Wdr5	0.8017661
Fadd	Ripk3	0.8017661
Rela	Nfkb1	0.7957155
Eed	Jarid2	0.79277474
Grb2	Gab1	0.79072183
Fbxl3	Cry1	0.79041725
Dmd	Snta1	0.78366303
Pxn	Ptk2	0.7836378
Ufd1	Vcp	0.7804804
Ywhae	Hdac7	0.77940035
Jarid2	Ezh2	0.77416426
Sharpin	Rnf31	0.77416426
Rbck1	Rnf31	0.77416426
Sin3a	Hdac1	0.77254003
Smarca4	Smarcc1	0.7693446
Rag2	Rag1	0.76561326
Maged1	Msx2	0.7642084
Rnf2	Phc2	0.76337117
Dact1	Dvl1	0.7612887
Tnfrsf11a	Tnfsf11	0.75978994
Bbs1	Bbs4	0.75839084
Bbs1	Bbs7	0.75839084
Keap1	Nfe2l2	0.7578428
Tab2	Map3k7	0.75677687
Grb2	Sos1	0.75677687
Fbxl3	Cry2	0.75677687
Pcgf2	Phc2	0.7563136
Ngly1	Vcp	0.75572014
Dlg4	Neto1	0.7527552
Gata1	Zfpm1	0.7525142
Tank	Tbk1	0.75025624
Pik3c3	Becn1	0.7478933
Myd88	Irak4	0.7478933
Dlg4	Arc	0.7478933
Naip2	Nlrc4	0.74767184
Sirt1	Clock	0.7461874
Csf1r	Csf1	0.74317217
Cd274	Cd80	0.7372405
Apbb1ip	Tln1	0.73714393
Tnip1	Tnfaip3	0.73648494
Cbfa2t3	Tal1	0.73403555
Cbfa2t2	Tal1	0.73403555
Becn1	Bcl2	0.73374414
Cry1	Fbxl21	0.73092526
Smad3	Smad4	0.7307164
Dnmt3l	Dnmt3a	0.7291844
Ppargc1a	Sirt1	0.7291843
Atg5	Atg12	0.7276013
Ywhab	Prkce	0.725339
Kdm1a	Hdac1	0.72262114
Kif3a	Kif3b	0.72262114
Eed	Suz12	0.72262114
Mdm2	Rpl11	0.72262114
Grin1	Grin2a	0.7225156
Grin1	Dlgap1	0.7225156
Cd274	Pdcd1	0.72224355
Plxna2	Sema6a	0.719498
Eif4g1	Eif4e	0.7178951
Agtrap	Agtr1a	0.7148233
Foxk1	Sin3b	0.7148233
Dffb	Dffa	0.71347433
Wnt3a	Fzd8	0.7131779
Wdr5	Pou5f1	0.7106616
Lrrk2	Ywhag	0.7106616
Tgfbr1	Shc1	0.7106616
Dnm1l	Lrrk2	0.7096433
Mta2	Hdac1	0.70836645
Max	Myc	0.70836645
Bbs2	Bbs7	0.70836645
Dlg4	Gda	0.70836645
Lck	Hcls1	0.703944
Dab1	App	0.70368695
Ptprr	Mapk1	0.70357674
Nanog	Nr0b1	0.70177794
Trp53	Ep300	0.7017563
Rtkn	Rhoa	0.7017563
Kif5a	Dtnb	0.6978013
Slamf1	Inpp5d	0.6967535
Adam17	Rhbdf2	0.69651246
Lyn	Hcls1	0.6960184
Tjp1	Gja1	0.69538873
Nfkbib	Rela	0.692643
Rph3a	Rab3a	0.69226545
Tyrp1	Tyr	0.6911631
Ring1	Rybp	0.6906107
Dvl2	Vangl2	0.69036967
Pou5f1	Sall4	0.68956923
Nanog	Sall4	0.68956923
Lepr	Lep	0.68834466
Stx1a	Snap25	0.68799144
Cry2	Fbxl21	0.6876288
Atg12	Atg3	0.6876288
Irak1	Myd88	0.68750167
Pik3cg	Pik3r6	0.68750167
Pycard	Nlrp3	0.68750167
Cdh5	Ptprb	0.68517834
Pkia	Prkaca	0.683472
Stx4a	Stxbp3	0.683472
Atg16l1	Rb1cc1	0.68148607
Lck	Cd4	0.68102497
Flrt3	Adgrl3	0.67817634
Sos2	Grb2	0.67801076
Dnmt3l	Dnmt3b	0.6765058
Lrrk2	Ywhae	0.6765058
Lrrk2	Ywhaz	0.6765058
Lrrk2	Ywhah	0.6765058
Nck1	Dok1	0.6765058
Ywhaq	Lrrk2	0.6765058
Myd88	Traf3	0.6765058
Nanog	Zfp281	0.6765058
Lrrk2	Ywhab	0.6765058
Ap2a2	Eps15	0.6761282
H3c11	Cbx1	0.6761282
H3c1	Cbx1	0.6761282
H3c10	Cbx1	0.6761282
H3c8	Cbx1	0.6761282
Musk	Dok7	0.6761282
Paxip1	Gm42742	0.6758526
Paxip1	Pagr1a	0.6758526
Cxadr	Actb	0.67212003
Prmt1	Chtop	0.6717805
Parvb	Ilk	0.6687045
Fas	Casp8	0.6687045
Fadd	Fas	0.6687045
Mdm2	Rpl5	0.6687045
Kif3a	Kifap3	0.6687045
Lat	Grb2	0.6687045
Tnfrsf1a	Ripk1	0.6687045
Lat	Plcg1	0.6687045
Bbs2	Ttc8	0.6687045
Bbs1	Ttc8	0.66870445
Foxo1	Fcor	0.66817826
Erbin	Erbb2	0.66817826
Tgfbr2	Tgfbr1	0.6671302
Ly86	Cd180	0.6670626
Tnfrsf18	Tnfsf18	0.6670626
Cyld	Bcl3	0.6665061
Spo11	Gm960	0.6641529
Ap1g1	Ap1m1	0.663528
Ddx41	Sting1	0.663528
Cttn	Actr3	0.663528
Arid1a	Smarca4	0.6622512
Rnf2	Cbx7	0.6622512
Sharpin	Rbck1	0.6622512
Dlg4	Kcna4	0.6592136
Akap1	Siah2	0.6589325
Dnm1l	Mief1	0.65782976
Blnk	Grap2	0.65757173
Eya1	Six1	0.65757173
Eya1	Six2	0.65757173
Gmnn	Cdt1	0.65757173
Ptpra	Grb2	0.65601856
Trpm7	Myh9	0.65601856
Gata4	Nkx2-5	0.655641
Ash2l	Wdr5	0.655641
Ap2a2	Ap2s1	0.655641
Dact1	Vangl2	0.655641
Smarcd3	Myod1	0.65478843
Tnfrsf11b	Tnfsf11	0.65450215
Sgsm1	Rab9	0.65450215
Cfap36	Arl3	0.65450215
Cacybp	S100a6	0.6501776
Iqgap1	Shc1	0.6501776
Keap1	Sqstm1	0.6501776
Grb7	Elavl1	0.65014225
Kif3a	Trim60	0.64982754
Stat3	Pgr	0.6492734
Cep290	Pcm1	0.6492734
Bcar1	Ptk2	0.6461501
Map2k5	Map3k3	0.6461501
Sema4b	Gipc1	0.6461501
Jak2	Socs3	0.64566576
Ilk	Stub1	0.64566576
Ptk2b	Asap1	0.64548427
Prkg1	Bmpr2	0.6450663
Itgb1bp2	Hsp90aa1	0.6450663
Hif1a	Arnt	0.6450663
Epas1	Arnt	0.6450663
Fos	Mafb	0.6450663
Stat3	Dapk3	0.6447328
Bicdl1	Rab6a	0.6447328
Oog1	Ralgds	0.6447328
Pou5f1	Ewsr1	0.6447328
Grin1	Src	0.643454
Grin1	Cdh2	0.643454
Grin1	Prkce	0.643454
Grin1	Hspa1b	0.643454
Grin1	Rps6ka3	0.643454
Grin1	Map2	0.643454
Grin1	Camk2b	0.643454
Grin1	Prkar2b	0.643454
Grin1	Map2k1	0.643454
Grin1	Ptpn11	0.643454
Grin1	Dnm1	0.643454
Grin1	Grik2	0.643454
Grin1	Nsf	0.643454
Grin1	Pla2g4a	0.643454
Grin1	Actb	0.643454
Grin1	Rac1	0.643454
Grin1	Mapk1	0.643454
Grin1	Prkcg	0.643454
Grin1	Ppp3ca	0.643454
Grin1	Tuba1a	0.643454
Grin1	Prkcb	0.643454
Grin1	Dlg3	0.643454
Grin1	Grm1	0.643454
Grin1	Ctnnb1	0.643454
Grin1	Nf1	0.643454
Grin1	Cttn	0.643454
Grin1	Ppp5c	0.643454
Grin1	Dsg1a	0.643454
Grin1	Plcg1	0.643454
Grin1	Sptbn1	0.643454
Grin1	Mapk3	0.643454
Grin1	Map2k2	0.643454
Grin1	Shank2	0.643454
Grin1	Rap2a	0.643454
Grin1	Dusp4	0.643454
Becn1	Atg14	0.643454
Grin1	Dlg2	0.643454
Grin1	Myo5a	0.643454
Grin1	Raf1	0.643454
Grin1	Actn2	0.643454
Mapkap1	Mtor	0.643454
Grin1	Ptk2b	0.643454
Grin1	Arc	0.643454
Grin1	Nos1	0.643454
Grin1	Homer1	0.643454
Smarca4	Smarce1	0.6430107
Dlg4	Cnp	0.6430107
Dlg4	Kcna1	0.6430107
Tnfrsf1a	Traf2	0.6430107
Dlg4	Kcnab2	0.6430107
Stx1a	Vamp2	0.6430107
Dlg4	Kcna2	0.6430107
Cbl	Grb2	0.6430107
Ywhae	Dlg4	0.6430107
Rbbp5	Paxip1	0.6430107
Pou5f1	Chd4	0.6430107
Dlg4	Lgi1	0.6430107
Dlg4	Adam22	0.6430107
Rnf2	Ring1	0.64138633
Zeb1	Ctbp1	0.64138633
Hdac1	Zbtb7a	0.64138633
Sort1	Ntrk2	0.64138633
Prkce	Vim	0.64138633
Eif4e	Eif4ebp1	0.64138633
H3f3a	Hira	0.64138633
H3f3b	Hira	0.64138633
Polr2a	Srsf2	0.64138633
Mlkl	Ripk3	0.64138633
Kat2a	Cebpb	0.6391451
Ptpn18	Pstpip2	0.63894826
Plau	Slurp1	0.63894826
Dyrk3	Sirt1	0.638779
Nr2f6	Rasd1	0.6385809
Dazl	Dynll1	0.6385809
Smarcb1	Smarcc1	0.6385809
Actn4	Micall2	0.6385809
Sema4c	Gipc1	0.6385809
Grid2	Cbln1	0.636998
Sumo1	Nr2c1	0.63672453
Cldn1	Tjp1	0.63490963
Nrip1	Nr2c1	0.63490963
Dll1	Magi2	0.63490963
Slc1a1	Hccs	0.6328054
Atp6v0a2	Cyth2	0.6328054
Ywhaz	Mlf1	0.6318955
Rela	Med17	0.63186604
E2f1	Ndn	0.6317577
Mtor	Yy1	0.6317577
Dnmt3l	Ezh2	0.6317577
E2f1	Nsmce3	0.6317577
Ndn	Maged1	0.6317577
Nrbf2	Atg14	0.6281718
Cyfip1	Eif4e	0.6278733
Dok1	Abl1	0.62616736
Sin3a	Sap30	0.62537384
Suds3	Sin3b	0.62537384
Iqsec2	Baiap2	0.62537384
Akt1	Trib3	0.62537384
Cep55	Tex14	0.6251802
Mapk8	Jun	0.6230328
Prnp	App	0.6230328
H2-Ab1	H2-Aa	0.6230328
