interactor_A	interactor_B	confidence_value
Stxbp1	Stx1a	0.920777
Prkaa1	Prkab1	0.87695307
Vcp	Nsfl1c	0.8680734
Prkab1	Kmt2d	0.86264205
Dlg4	Dlgap1	0.8425691
Sh3gl2	Dnm1	0.7851751
Vamp2	Stx1a	0.75224805
Prkaa1	Kmt2d	0.725339
Chp1	Stk17b	0.70972854
Dlg4	Grin1	0.70836645
Sumo1	Grik2	0.7017563
Dlgap1	Shank1	0.68750167
Tgoln2	Ap2m1	0.68331224
Scn10a	S100a10	0.6569696
Ppm1e	LOC108351137	0.63894826
Oprm1	Gpm6a	0.6343788
Eif4ebp1	Mtor	0.6230328
Gch1	Gchfr	0.6230328
Ppp1cc	Ppp1r9b	0.6210149
Dgkz	Dlg3	0.61649024
Vamp1	Stx1a	0.6130983
Pten	Dlg4	0.61151
Mbp	Kcnma1	0.60995376
Vamp2	Syt1	0.60851574
Syt1	Syt4	0.6022177
Gucy1a2	Dlg4	0.60206676
Slc6a9	Dlg4	0.6015104
Dgki	Dlg4	0.5985322
Lin7b	Dlg4	0.59853214
Mob4	Nme2	0.59257585
Adgrl1	Shank2	0.59257585
Shank1	Homer1	0.5907609
Dgkz	Dlg4	0.5903873
Cacng2	Dlg4	0.5892287
Tjp1	Ocln	0.5892287
Ptk2	Ocln	0.5892287
Grm1	Ppp1cc	0.5811543
Ppp1r9a	Rps6kb1	0.5811543
Klhl17	Pdzk1	0.5811543
Baiap2	Lin7b	0.5811543
Prkaa1	Iqgap1	0.57639056
Ywhab	Bid	0.57065123
Sstr2	Shank2	0.57065123
Rnf40	Stx1b	0.56689966
Apba2	Stxbp1	0.56689966
Ntrk2	Gipc1	0.56689966
Shank1	Dlg4	0.5635349
Cplx1	Stx1a	0.5635349
Dnm1l	Bcl2l1	0.5635349
Cdk5	Cdk5r1	0.5635349
Cplx1	Vamp2	0.5635349
Gosr1	Ykt6	0.5635349
Stx5	Ykt6	0.5635349
Tmed2	Tmed10	0.5635349
Cfl1	Cttn	0.56297076
Itsn1	Dnm1	0.56068474
Faah	Faahl	0.558037
Vamp1	Stx12	0.5575934
Sstr4	Dlg4	0.55601907
Cnksr2	Dlg4	0.55601907
Pak1	Arhgef7	0.5529344
Ntrk1	Grb2	0.5481025
Ppm1e	Aldoa	0.5435199
Scn1b	Syt1	0.54351985
Sirpa	Ptpn11	0.54351985
Fzr1	Cdk5r1	0.54351985
Rims2	Ywhah	0.54351985
Apoa1	Apob	0.54351985
Slc9a3r1	Asic3	0.54259735
Kif1b	Chp1	0.54259735
Zmynd8	Dbn1	0.54259735
Sharpin	Shank1	0.54259735
Arrb1	Raf1	0.53722185
P2rx2	P2rx4	0.53722185
P2rx2	P2rx6	0.53722185
Slc2a4	Actn4	0.53722185
Vamp2	Rabac1	0.5272462
Nlgn1	Dlg4	0.5272462
Leprotl1	Rab13	0.5272462
Cdk5	Ntrk3	0.5248886
Cdk5	Ntrk2	0.5248886
Uso1	Gosr2	0.52423286
Grasp	Apba2	0.52423286
Chp1	LOC108351137	0.52423286
Kcnj8	Gja1	0.52423286
Wasf1	Gnai3	0.52423286
Shank2	Pde4d	0.52423286
Grasp	Dlg4	0.52423286
Gucy1b1	Dlg4	0.52423286
Smad2	Akt1	0.52423286
Wasf1	Gnb1	0.52423286
Wasf1	Actb	0.52423286
Ppp1r9a	Ppp1cb	0.52423286
Dnm1	Grb2	0.52423286
Ppp1r9a	Ppp1cc	0.52423286
Akt1	Smad3	0.52423286
Uso1	Stx5	0.52423286
Stx5	Gosr1	0.52423286
Uso1	Gosr1	0.52423286
Lurap1	Cdc42bpb	0.52423286
Slc9a1	Chp2	0.52423286
Homer1	Agap2	0.52423286
Drd2	Ppp1r9b	0.5079592
Grik2	Pias3	0.5079592
Ppp1cb	Rpl5	0.5079592
Ppp1r9a	Tgoln2	0.5079592
Mapk10	Arrb2	0.5079592
Ube2i	Grik2	0.5079592
Ywhaz	Cfl1	0.5079592
Mapk10	Syt4	0.5079592
Arfgef1	Myo9b	0.5079592
Gipc1	Actn1	0.5079592
Rgs19	Gipc1	0.5079592
Scn10a	Dynlt1	0.5079592
Adora1	Adora2a	0.5079591
Vps18	Hook1	0.49853906
Prkab1	Iqgap1	0.49853906
Skp1	Ccna2	0.49853906
Vps26a	Vps35	0.49853906
Synj1	Sh3gl2	0.49853906
Synj1	Sh3gl3	0.49853906
Slc2a4	LOC108351137	0.49853906
Itm2b	Gap43	0.49853906
Bcl2l1	Clta	0.49853906
Sh3gl3	Dnm1	0.49853906
Itm2b	Dlg4	0.49853906
Prkaa1	Rhoa	0.49853906
Tor1aip1	Ppp1ca	0.49853906
Tor1aip1	Ppp1cc	0.49853906
Dgki	Dlg3	0.49853906
Prkaa1	Rac1	0.49853906
Fadd	Casp8	0.49853906
Ehd1	Pacsin2	0.49853906
Klhl17	Actb	0.4890447
Krt19	Dmd	0.48226535
P2ry1	Adora1	0.4705124
Htr2a	Grm2	0.4705124
Ptrh2	Ptk2	0.46269515
Tmcc2	App	0.46269515
Sumo1	Cnr1	0.46269515
Adora2a	Cnr1	0.46269515
Agap2	Grm1	0.46269515
Pdzk1	Dlg4	0.46269515
Sharpin	Dlg4	0.46269515
Pdzk1	Grin1	0.46269515
Crtc1	Ywhae	0.46269515
Pdc	Ywhae	0.46269515
Apbb1	Arf6	0.46269515
Capzb	Mtpn	0.46269515
Gad1	Gad2	0.46269515
Actn2	Fermt2	0.46269515
Tmub1	Camlg	0.46269515
Gipc1	Plekhg5	0.46269515
Slc8a1	Atxn2l	0.46174428
Slc8a1	Dnaja3	0.46174428
Slc8a1	Dnajb5	0.46174428
Slc8a1	Upf1	0.46174428
Slc8a1	Rbpms2	0.46174428
Slc8a1	Sntb1	0.46174428
Slc8a1	Ntpcr	0.46174428
Slc8a1	Mycbp	0.46174428
Slc8a1	Fam120a	0.46174428
Slc8a1	Dmd	0.46174428
Slc8a1	Ppp2r2a	0.46174428
Slc8a1	Ruvbl1	0.46174428
Slc8a1	Ap2m1	0.46174428
Slc8a1	Rabggta	0.46174428
Slc8a1	Fam98a	0.46174428
Slc8a1	Dnajb4	0.46174428
Slc8a1	Dyrk1a	0.46174428
Vamp1	Stx6	0.46174428
Slc8a1	Ddx1	0.46174428
Slc8a1	Rtcb	0.46174428
Slc8a1	Pabpc1	0.46174428
Slc8a1	Fbln5	0.46174428
Npr1	Nppa	0.43887317
Rgs4	Gnai1	0.43887317
Camk1	Creb1	0.43887317
Sdc4	Sdc1	0.43887317
Spp1	Acp5	0.43887317
Raf1	Pak1	0.43887317
Gnao1	Rgs4	0.43887317
Thop1	Ywhae	0.43887317
Kcna1	Kcnab2	0.43887317
Dusp6	Mapk1	0.43887317
Pdc	Ywhaz	0.43887317
Csnk2a1	Csnk2b	0.43887317
Coasy	Rps6kb1	0.43887317
Camk1	Ppm1e	0.43887317
Rab13	Leprot	0.43887317
Lrrk2	Rab5b	0.42590037
Actb	Cit	0.42590037
Ptprt	Dlg4	0.42590037
P2rx6	P2rx4	0.42590037
Cops4	Tor1a	0.42590037
Ackr3	Cxcr4	0.41277552
Vps41	Ap3b1	0.40116468
Myc	Sin3b	0.40116468
Src	Mpp5	0.40116468
Htr2a	Rps6ka3	0.40116468
Ptpn11	Spry1	0.40116468
Setd7	Foxo3	0.40116468
Snapin	Actn2	0.40116468
Rab11a	Rab11fip2	0.40116468
Skp1	Cdc6	0.40116468
Sp7	Riox1	0.40116468
Ap3b2	Vps41	0.40116468
Ap3d1	Vps41	0.40116468
Ntrk2	Tiam1	0.40116468
Asic3	Stoml3	0.40116468
Syn1	Lrrk2	0.40116468
Bcl2l1	Bad	0.40116468
Stx5	Gosr2	0.40116468
Tjp1	Ptk2	0.40116468
Crmp1	Gne	0.40116468
Slc22a1	Slc22a6	0.40116468
Shank1	Arhgef7	0.40116468
Hes5	Sox10	0.40116468
Agap2	Homer2	0.40116468
Akt1	LOC108351137	0.40116468
Pik3c3	Gja1	0.40116468
Atg14	Gja1	0.40116468
Src	Gja1	0.40116468
Chrnb4	Chrnb2	0.40116468
B2m	Fcgrt	0.40116468
Htr6	Map1b	0.40116468
Carm1	Creb1	0.40116468
Fos	Jun	0.40116468
Sh3gl1	Dnm1	0.40116468
Stx1a	Syt1	0.40116468
Gja1	Gjb2	0.40116468
Homer1	Grm1	0.40116468
Arrb2	Agtr1a	0.40116468
Aldh16a1	LOC103689983	0.40116468
Aldh16a1	Hprt1	0.40116468
Itga1	Slc6a9	0.40116468
Tp53	Arrb1	0.40116468
Cript	Dlg4	0.40116468
Klhl17	Dlg4	0.40116468
Sdcbp	Grm3	0.40116468
Napa	Stx1a	0.40116468
Apba2	Stx1a	0.40116468
Aldh16a1	Hsp90ab1	0.40116468
Kcnma1	Tbxa2r	0.40116468
Sdcbp	Grm6	0.40116468
Ucn	Crhr1	0.40116468
Cib1	Pak1	0.40116468
Sncaip	Snca	0.40116468
Rab8a	Snca	0.40116468
Jak2	Ptpn11	0.40116468
Frs2	Ptpn11	0.40116468
Gbf1	Uso1	0.40116468
App	Apbb1	0.40116468
LOC103694903	Dpysl2	0.40116468
Ppp2ca	Dpysl2	0.40116468
Chp2	Slc9a2	0.40116468
Atp6v1a	Atp6v1f	0.40116468
Abi1	Max	0.40116468
Myc	Max	0.40116468
Ntrk2	Pggt1b	0.40116468
Slc9a1	Chp1	0.40116468
Slc9a2	Chp1	0.40116468
Slc6a3	Drd2	0.40116468
Kcna2	Kcnab2	0.40116468
Zfyve27	Rab11a	0.40116468
Atp6v1a	Atp6v1b2	0.40116468
Ptpn11	Grb2	0.40116468
Prkd3	Vamp2	0.40116468
Napa	Vamp2	0.40116468
Vamp2	Atp6v0c	0.40116468
Grasp	Dlgap1	0.40116468
Nfya	Sp1	0.40116468
Syt1	Sv2a	0.40116468
Ascl1	Hes5	0.40116468
Pten	Dbn1	0.40116468
Gnb1	Fndc1	0.40116468
Gnb2	Fndc1	0.40116468
Stx5	Sec22b	0.40116468
Uso1	Sec22b	0.40116468
Gosr2	Sec22b	0.40116468
Slc6a3	Rit2	0.40116468
Uso1	Ykt6	0.40116468
Atp6v1a	Atp6v1c1	0.40116468
Tp53	Sumo1	0.40116468
Vamp2	Atp6v0d1	0.40116468
Psen1	Aph1a	0.40116468
Id1	Cdc20	0.40116468
Ptk2b	Arfgap1	0.40116468
Stx5	Bet1	0.40116468
Uso1	Bet1	0.40116468
Gosr1	Bet1	0.40116468
Gosr2	Bet1	0.40116468
Sh3gl1	Synj1	0.40116468
Dlg4	Dlg3	0.40116468
Grin1	Dlg3	0.40116468
Gucy1a2	Dlg3	0.40116468
Uso1	Scfd1	0.40116468
Prmt1	Btg1	0.40116468
Akt1	Pkn1	0.40116468
F2rl1	Tmed2	0.40116468
Ptpn11	Ntrk2	0.40116468
Sumo1	Rangap1	0.40116468
Grik2	Map3k11	0.40116468
Srcin1	Cttn	0.40116468
Prkab1	Gsn	0.40116468
Prkaa1	Gsn	0.40116468
Mpp5	Jam3	0.40116468
Atp6v1a	Atp6v1d	0.40116468
Oprm1	Wls	0.40116468
Aldh16a1	Skp1	0.40116468
Rtn4	Atl1	0.40116468
Tiam1	Rac1	0.40116468
Siah1	Sh3rf1	0.40116468
Prkaa1	Flcn	0.40116468
Hdac1	Rela	0.40116468
Gabra1	Arfgef2	0.40116468
Psen1	Ncstn	0.40116468
Aph1a	Ncstn	0.40116468
Rela	Yy1	0.40116468
Hdac1	Yy1	0.40116468
Atp6v1a	Atp6v1g2	0.40116468
Casp9	Apaf1	0.40116468
Aqp4	Trpv4	0.40116468
Napa	Vamp7	0.40116468
Abi1	Shank2	0.40116468
Arhgef7	Shank2	0.40116468
Wasf1	Abi1	0.40116468
Myc	Abi1	0.40116468
Hspa5	Sigmar1	0.40116468
Mapk8ip2	Mapk8ip1	0.40116468
Akt1	Mapk8ip1	0.40116468
Gripap1	Grip2	0.40116468
Ptk2b	Src	0.40116468
Hras	Src	0.40116468
Cd63	Src	0.40116468
Gkap1	Shank1	0.40116468
Eps15	Itsn1	0.40116468
Kcna5	Actn1	0.40116468
Gkap1	Homer1	0.40116468
Stx7	Stx8	0.40116468
F11r	Pard3	0.40116468
App	Ntrk1	0.3819048
Scn10a	Tspan6	0.36784992
Rab3a	Rabac1	0.36784992
Gabrb1	C1qbp	0.36784992
Prmt1	Prmt3	0.36784992
Gipc1	Kif1b	0.36784992
Atf4	Dapk3	0.36784992
Bcl2l11	Bcl2l2	0.36784992
Erp29	Hspa5	0.36784992
Dnajb11	Hspa5	0.36784992
Scn10a	Gja1	0.36784992
Kalrn	Pam	0.36784992
Arfgef2	Gabrb1	0.36784992
Dnajb9	Canx	0.36784992
Bcl2l11	Bcl2l1	0.36784992
Scn10a	Actb	0.36784992
Dlg4	Stxbp1	0.36784992
Arfgef2	Gabrb2	0.36784992
C1qbp	Gabrb2	0.36784992
Scn10a	Tuba1a	0.36784992
Dnajb11	Dnajb9	0.36784992
Dnajc10	Dnajb9	0.36784992
Pdzk1	Dlgap1	0.36784992
Stxbp1	Stx5	0.36784992
Dnajb11	Dnajc10	0.36784992
Hspa5	Dnajc10	0.36784992
Scn10a	Ccdc43	0.36784992
Scn10a	Pelo	0.36784992
Scn10a	Fstl1	0.36784992
Sh3gl2	Slc17a7	0.36784992
Dlg4	Grin2d	0.36784992
Dlgap1	Dlg3	0.36784992
Baiap2	Dlg3	0.36784992
Prnd	Scn10a	0.36784992
Trip6	Scn10a	0.36784992
Eif3l	Scn10a	0.36784992
MAST1	Scn10a	0.36784992
Btg2	Prmt1	0.36784992
Dnajb9	Fkbp9	0.36784992
Rabac1	Rab1a	0.36784992
Hspa5	Sil1	0.36784992
Fkbp9	Dnajb11	0.36784992
Syt9	Wnk1	0.36784992
Syt1	Wnk1	0.36784992
Dnajb11	Uggt1	0.36784992
Dlgap1	Shank2	0.36784992
Baiap2	Abi1	0.36784992
Prkaa1	Eml4	0.34505215
Prkaa1	Ivns1abp	0.34505215
Prkaa1	H1f2	0.34505215
Prkaa1	Ddx3x	0.34505215
Prkaa1	Coro2a	0.34505215
Itm2b	Numbl	0.34505215
Rad23b	Psmd13	0.34505215
Itm2b	Enpp6	0.34505215
Prkaa1	Rab5c	0.34505215
Prkab1	Rab5c	0.34505215
Itm2b	Cisd1	0.34505215
Nop10	LOC103690013	0.34505215
Rad23b	Mab21l4	0.34505215
Itm2b	Capza1	0.34505215
Prkaa1	Dbt	0.34505215
Itm2b	Otub1	0.34505215
Prkaa1	Erh	0.34505215
Mapk3	Naca	0.34505215
Itm2b	Septin11	0.34505215
Ywhab	Tubb4a	0.34505215
Prkaa1	Tubb4a	0.34505215
Prkaa1	Stt3a	0.34505215
Itm2b	Slc7a2	0.34505215
Itm2b	Erlin2	0.34505215
Prkaa1	Eef1b2	0.34505215
Rad23b	Eef1b2	0.34505215
Prkaa1	Elavl1	0.34505215
Itm2b	Ahcyl1	0.34505215
Tnf	Cflar	0.34505215
LOC103694380	Cflar	0.34505215
Itm2b	Atp5mf	0.34505215
Casp2	Cradd	0.34505215
Pidd1	Cradd	0.34505215
LOC100911519	Cradd	0.34505215
Mapk3	Actn2	0.34505215
Kcnma1	Abce1	0.34505215
Prkaa1	Dhx15	0.34505215
Itm2b	Ocrl	0.34505215
Prkaa1	H1f10	0.34505215
Slc2a4	Eps15l1	0.34505215
Rad23b	Rnf43	0.34505215
Vps50	Vps53	0.34505215
Prkab1	Cse1l	0.34505215
Prkab1	Actbl2	0.34505215
Prkaa1	Actbl2	0.34505215
Tmed2	Tmed7	0.34505215
Vps18	Vps41	0.34505215
LOC103694380	Togaram1	0.34505215
Tnf	Togaram1	0.34505215
Kcnma1	Ccsap	0.34505215
Rad23b	Fam204a	0.34505215
Prkaa1	H1f1	0.34505215
Slc2a4	Cox15	0.34505215
Prkaa1	Map7d2	0.34505215
LOC103694380	Adamtsl2	0.34505215
Tnf	Adamtsl2	0.34505215
Prkaa1	Synpo2	0.34505215
Prkaa1	Srsf7	0.34505215
Itm2b	Chchd6	0.34505215
Prkab1	AC099137.1	0.34505215
Prkaa1	Dhx9	0.34505215
Prkaa1	Srsf1	0.34505215
Prkaa1	Fam120a	0.34505215
Itm2b	Ston2	0.34505215
Prkaa1	Hnrnpul2	0.34505215
Prkaa1	Eif3f	0.34505215
Prkaa1	Cct8	0.34505215
Rad23b	RGD1563888	0.34505215
Kcnma1	AABR07053472.1	0.34505215
Rad23b	Psmd7	0.34505215
Acsl1	Agl	0.34505215
Vps18	Vps39	0.34505215
Prkaa1	Raly	0.34505215
Tnf	Ubap2l	0.34505215
LOC103694380	Ubap2l	0.34505215
Prkaa1	Mcm5	0.34505215
Rad23b	Abca17	0.34505215
Prkaa1	Coro2b	0.34505215
Prkaa1	Hnrnpl	0.34505215
Kcnma1	Stk26	0.34505215
Vangl2	Prickle2	0.34505215
Prkaa1	Svil	0.34505215
Itm2b	Rapgef2	0.34505215
Prkaa1	Limch1	0.34505215
Vps50	Vps51	0.34505215
Prkab1	Tp53bp1	0.34505215
Prkaa1	Rrbp1	0.34505215
Prkab1	Rrbp1	0.34505215
Ptpn11	Irs2	0.34505215
Prkaa1	Numa1	0.34505215
Slc2a4	Galc	0.34505215
Prkaa1	Prpf8	0.34505215
Itm2b	Srsf6	0.34505215
Vps18	Stx12	0.34505215
Slc2a4	Stx12	0.34505215
Prkaa1	Sf3b1	0.34505215
Prkaa1	Ruvbl2	0.34505215
Tnf	Lrp1	0.34505215
LOC103694380	Lrp1	0.34505215
Prkaa1	Tardbp	0.34505215
Prkab1	Tardbp	0.34505215
Prkaa1	Rbm14	0.34505215
Prkaa1	Chtopl1	0.34505215
Lamp2	Pi4kb	0.34505215
Itm2b	Cxcr4	0.34505215
Slc2a4	Prpsap2	0.34505215
Prkaa1	Prpsap2	0.34505215
Prkci	Sqstm1	0.34505215
Prkaa1	Trim28	0.34505215
Itm2b	Phgdh	0.34505215
Slc2a4	Phgdh	0.34505215
Itm2b	Mark2	0.34505215
Vps18	Vps45	0.34505215
Itm2b	Madd	0.34505215
Itm2b	Dclk1	0.34505215
Itm2b	Ncdn	0.34505215
