interactor_A	interactor_B	confidence_value
Psmb8	Psmb9	0.999
Psmb1	Psmd2	0.999
Mcm7	Mcm4	0.999
Atg12	Atg3	0.999
Cops6	Cops4	0.999
Pwp2	Utp18	0.999
Atp5po	Atp5f1b	0.999
Psmd2	Psmd12	0.999
Psmb1	Psmd12	0.999
Mcm4	Mcm6	0.999
Mcm7	Mcm6	0.999
Psmd12	Psmc1	0.999
Psmd2	Psmc1	0.999
Psmb1	Psmc1	0.999
Rpl10a	Rpl26	0.999
Smc1a	Rad21	0.999
Rpl26	Rpl19	0.999
Nsmce2	Smc6	0.999
Bud31	Snrpf	0.999
Phf5a	Snrpf	0.999
Cul1	Skp1	0.999
Eif2b5	Eif2b4	0.999
Flt1	Pgf	0.999
Sec61g	Sec61b	0.999
Utp18	Bms1	0.999
Cops4	Cops5	0.999
Cops6	Cops5	0.999
Nup85	Nup107	0.999
Psmd12	Psmd6	0.999
Psmb1	Psmd6	0.999
Psmd2	Psmd6	0.999
Psmc1	Psmd6	0.999
Ndufa5	Ndufa7	0.999
Psmb1	Psmc6	0.999
Psmc1	Psmc6	0.999
Psmd6	Psmc6	0.999
Psmd12	Psmc6	0.999
Psmd2	Psmc6	0.999
Psmc1	Psma6	0.999
Psmb1	Psma6	0.999
Psmd2	Psma6	0.999
Psmd12	Psma6	0.999
Psmd6	Psma6	0.999
Psmc6	Psma6	0.999
Vps52	Vps53	0.999
Ndufa5	Ndufa12	0.999
Vps53	Vps54	0.999
Vps52	Vps54	0.999
Sf3a1	Sf3a3	0.999
Mad2l1	Bub1b	0.999
Nek2	Bub1b	0.999
Polr2j	Supt4h1	0.999
Sdhc	Sdhb	0.999
Thoc6	Thoc7	0.999
Psma6	Psma3l	0.999
Psmc1	Psma3l	0.999
Psmc6	Psma3l	0.999
Psmd6	Psma3l	0.999
Psmd2	Psma3l	0.999
Psmd12	Psma3l	0.999
Psmb1	Psma3l	0.999
Rpl19	Rpl15	0.999
Rpl10a	Rpl15	0.999
Rpl26	Rpl15	0.999
Orc4	Orc3	0.999
