database	pathway	gene
KEGG	2-Oxocarboxylic acid metabolism	AADAT
KEGG	2-Oxocarboxylic acid metabolism	ABHD14A-ACY1
KEGG	2-Oxocarboxylic acid metabolism	ACO1
KEGG	2-Oxocarboxylic acid metabolism	ACO2
KEGG	2-Oxocarboxylic acid metabolism	ACY1
KEGG	2-Oxocarboxylic acid metabolism	BCAT1
KEGG	2-Oxocarboxylic acid metabolism	BCAT2
KEGG	2-Oxocarboxylic acid metabolism	CS
KEGG	2-Oxocarboxylic acid metabolism	GOT1
KEGG	2-Oxocarboxylic acid metabolism	GOT1L1
KEGG	2-Oxocarboxylic acid metabolism	GOT2
KEGG	2-Oxocarboxylic acid metabolism	GPT
KEGG	2-Oxocarboxylic acid metabolism	GPT2
KEGG	2-Oxocarboxylic acid metabolism	IDH1
KEGG	2-Oxocarboxylic acid metabolism	IDH2
KEGG	2-Oxocarboxylic acid metabolism	IDH3A
KEGG	2-Oxocarboxylic acid metabolism	IDH3B
KEGG	2-Oxocarboxylic acid metabolism	IDH3G
KEGG	2-Oxocarboxylic acid metabolism	NAGS
KEGG	ABC transporters	ABCA1
KEGG	ABC transporters	ABCA10
KEGG	ABC transporters	ABCA12
KEGG	ABC transporters	ABCA13
KEGG	ABC transporters	ABCA2
KEGG	ABC transporters	ABCA3
KEGG	ABC transporters	ABCA4
KEGG	ABC transporters	ABCA5
KEGG	ABC transporters	ABCA6
KEGG	ABC transporters	ABCA7
KEGG	ABC transporters	ABCA8
KEGG	ABC transporters	ABCA9
KEGG	ABC transporters	ABCB1
KEGG	ABC transporters	ABCB10
KEGG	ABC transporters	ABCB11
KEGG	ABC transporters	ABCB4
KEGG	ABC transporters	ABCB5
KEGG	ABC transporters	ABCB6
KEGG	ABC transporters	ABCB7
KEGG	ABC transporters	ABCB8
KEGG	ABC transporters	ABCB9
KEGG	ABC transporters	ABCC1
KEGG	ABC transporters	ABCC10
KEGG	ABC transporters	ABCC11
KEGG	ABC transporters	ABCC12
KEGG	ABC transporters	ABCC2
KEGG	ABC transporters	ABCC3
KEGG	ABC transporters	ABCC4
KEGG	ABC transporters	ABCC5
KEGG	ABC transporters	ABCC6
KEGG	ABC transporters	ABCC8
KEGG	ABC transporters	ABCC9
KEGG	ABC transporters	ABCD1
KEGG	ABC transporters	ABCD2
KEGG	ABC transporters	ABCD3
KEGG	ABC transporters	ABCD4
KEGG	ABC transporters	ABCG1
KEGG	ABC transporters	ABCG2
KEGG	ABC transporters	ABCG4
KEGG	ABC transporters	ABCG5
KEGG	ABC transporters	ABCG8
KEGG	ABC transporters	CFTR
KEGG	ABC transporters	DEFB1
KEGG	ABC transporters	TAP1
KEGG	ABC transporters	TAP2
KEGG	Acute myeloid leukemia	AKT1
KEGG	Acute myeloid leukemia	AKT2
KEGG	Acute myeloid leukemia	AKT3
KEGG	Acute myeloid leukemia	ARAF
KEGG	Acute myeloid leukemia	BAD
KEGG	Acute myeloid leukemia	BCL2A1
KEGG	Acute myeloid leukemia	BRAF
KEGG	Acute myeloid leukemia	CCNA1
KEGG	Acute myeloid leukemia	CCNA2
KEGG	Acute myeloid leukemia	CCND1
KEGG	Acute myeloid leukemia	CD14
KEGG	Acute myeloid leukemia	CEBPA
KEGG	Acute myeloid leukemia	CEBPE
KEGG	Acute myeloid leukemia	CHUK
KEGG	Acute myeloid leukemia	CSF1R
KEGG	Acute myeloid leukemia	CSF2
KEGG	Acute myeloid leukemia	DUSP6
KEGG	Acute myeloid leukemia	EIF4EBP1
KEGG	Acute myeloid leukemia	FCGR1A
KEGG	Acute myeloid leukemia	FLT3
KEGG	Acute myeloid leukemia	GRB2
KEGG	Acute myeloid leukemia	HRAS
KEGG	Acute myeloid leukemia	IKBKB
KEGG	Acute myeloid leukemia	IKBKG
KEGG	Acute myeloid leukemia	IL3
KEGG	Acute myeloid leukemia	ITGAM
KEGG	Acute myeloid leukemia	JUP
KEGG	Acute myeloid leukemia	KIT
KEGG	Acute myeloid leukemia	KRAS
KEGG	Acute myeloid leukemia	LEF1
KEGG	Acute myeloid leukemia	MAP2K1
KEGG	Acute myeloid leukemia	MAP2K2
KEGG	Acute myeloid leukemia	MAPK1
KEGG	Acute myeloid leukemia	MAPK3
KEGG	Acute myeloid leukemia	MPO
KEGG	Acute myeloid leukemia	MTOR
KEGG	Acute myeloid leukemia	MYC
KEGG	Acute myeloid leukemia	NFKB1
KEGG	Acute myeloid leukemia	NRAS
KEGG	Acute myeloid leukemia	PER2
KEGG	Acute myeloid leukemia	PIK3CA
KEGG	Acute myeloid leukemia	PIK3CB
KEGG	Acute myeloid leukemia	PIK3CD
KEGG	Acute myeloid leukemia	PIK3R1
KEGG	Acute myeloid leukemia	PIK3R2
KEGG	Acute myeloid leukemia	PIK3R3
KEGG	Acute myeloid leukemia	PIM1
KEGG	Acute myeloid leukemia	PIM2
KEGG	Acute myeloid leukemia	PML
KEGG	Acute myeloid leukemia	PPARD
KEGG	Acute myeloid leukemia	RAF1
KEGG	Acute myeloid leukemia	RARA
KEGG	Acute myeloid leukemia	RELA
KEGG	Acute myeloid leukemia	RPS6KB1
KEGG	Acute myeloid leukemia	RPS6KB2
KEGG	Acute myeloid leukemia	RUNX1
KEGG	Acute myeloid leukemia	RUNX1T1
KEGG	Acute myeloid leukemia	SOS1
KEGG	Acute myeloid leukemia	SOS2
KEGG	Acute myeloid leukemia	SPI1
KEGG	Acute myeloid leukemia	STAT3
KEGG	Acute myeloid leukemia	STAT5A
KEGG	Acute myeloid leukemia	STAT5B
KEGG	Acute myeloid leukemia	TCF7
KEGG	Acute myeloid leukemia	TCF7L1
KEGG	Acute myeloid leukemia	TCF7L2
KEGG	Acute myeloid leukemia	ZBTB16
KEGG	Adherens junction	ACP1
KEGG	Adherens junction	ACTB
KEGG	Adherens junction	ACTG1
KEGG	Adherens junction	ACTN1
KEGG	Adherens junction	ACTN4
KEGG	Adherens junction	AFDN
KEGG	Adherens junction	BAIAP2
KEGG	Adherens junction	CDC42
KEGG	Adherens junction	CDH1
KEGG	Adherens junction	CREBBP
KEGG	Adherens junction	CSNK2A1
KEGG	Adherens junction	CSNK2A2
KEGG	Adherens junction	CSNK2A3
KEGG	Adherens junction	CSNK2B
KEGG	Adherens junction	CTNNA1
KEGG	Adherens junction	CTNNA2
KEGG	Adherens junction	CTNNA3
KEGG	Adherens junction	CTNNB1
KEGG	Adherens junction	CTNND1
KEGG	Adherens junction	EGFR
KEGG	Adherens junction	EP300
KEGG	Adherens junction	ERBB2
KEGG	Adherens junction	FARP2
KEGG	Adherens junction	FER
KEGG	Adherens junction	FGFR1
KEGG	Adherens junction	FYN
KEGG	Adherens junction	IGF1R
KEGG	Adherens junction	INSR
KEGG	Adherens junction	IQGAP1
KEGG	Adherens junction	LEF1
KEGG	Adherens junction	LMO7
KEGG	Adherens junction	MAP3K7
KEGG	Adherens junction	MAPK1
KEGG	Adherens junction	MAPK3
KEGG	Adherens junction	MET
KEGG	Adherens junction	NECTIN1
KEGG	Adherens junction	NECTIN2
KEGG	Adherens junction	NECTIN3
KEGG	Adherens junction	NECTIN4
KEGG	Adherens junction	NLK
KEGG	Adherens junction	PARD3
KEGG	Adherens junction	PTPN1
KEGG	Adherens junction	PTPN6
KEGG	Adherens junction	PTPRB
KEGG	Adherens junction	PTPRF
KEGG	Adherens junction	PTPRJ
KEGG	Adherens junction	PTPRM
KEGG	Adherens junction	RAC1
KEGG	Adherens junction	RAC2
KEGG	Adherens junction	RAC3
KEGG	Adherens junction	RHOA
KEGG	Adherens junction	SMAD3
KEGG	Adherens junction	SMAD4
KEGG	Adherens junction	SNAI1
KEGG	Adherens junction	SNAI2
KEGG	Adherens junction	SORBS1
KEGG	Adherens junction	SRC
KEGG	Adherens junction	SSX2IP
KEGG	Adherens junction	TCF7
KEGG	Adherens junction	TCF7L1
KEGG	Adherens junction	TCF7L2
KEGG	Adherens junction	TGFBR1
KEGG	Adherens junction	TGFBR2
KEGG	Adherens junction	TJP1
KEGG	Adherens junction	VCL
KEGG	Adherens junction	WAS
KEGG	Adherens junction	WASF1
KEGG	Adherens junction	WASF2
KEGG	Adherens junction	WASF3
KEGG	Adherens junction	WASL
KEGG	Adherens junction	YES1
KEGG	Adipocytokine signaling pathway	ACACB
KEGG	Adipocytokine signaling pathway	ACSBG1
KEGG	Adipocytokine signaling pathway	ACSBG2
KEGG	Adipocytokine signaling pathway	ACSL1
KEGG	Adipocytokine signaling pathway	ACSL3
KEGG	Adipocytokine signaling pathway	ACSL4
KEGG	Adipocytokine signaling pathway	ACSL5
KEGG	Adipocytokine signaling pathway	ACSL6
KEGG	Adipocytokine signaling pathway	ADIPOQ
KEGG	Adipocytokine signaling pathway	ADIPOR1
KEGG	Adipocytokine signaling pathway	ADIPOR2
KEGG	Adipocytokine signaling pathway	AGRP
KEGG	Adipocytokine signaling pathway	AKT1
KEGG	Adipocytokine signaling pathway	AKT2
KEGG	Adipocytokine signaling pathway	AKT3
KEGG	Adipocytokine signaling pathway	AL035425.2
KEGG	Adipocytokine signaling pathway	CAMKK2
KEGG	Adipocytokine signaling pathway	CD36
KEGG	Adipocytokine signaling pathway	CHUK
KEGG	Adipocytokine signaling pathway	CPT1A
KEGG	Adipocytokine signaling pathway	CPT1B
KEGG	Adipocytokine signaling pathway	CPT1C
KEGG	Adipocytokine signaling pathway	G6PC
KEGG	Adipocytokine signaling pathway	G6PC2
KEGG	Adipocytokine signaling pathway	G6PC3
KEGG	Adipocytokine signaling pathway	IKBKB
KEGG	Adipocytokine signaling pathway	IKBKG
KEGG	Adipocytokine signaling pathway	IRS1
KEGG	Adipocytokine signaling pathway	IRS2
KEGG	Adipocytokine signaling pathway	IRS4
KEGG	Adipocytokine signaling pathway	JAK2
KEGG	Adipocytokine signaling pathway	LEP
KEGG	Adipocytokine signaling pathway	LEPR
KEGG	Adipocytokine signaling pathway	MAPK10
KEGG	Adipocytokine signaling pathway	MAPK8
KEGG	Adipocytokine signaling pathway	MAPK9
KEGG	Adipocytokine signaling pathway	MTOR
KEGG	Adipocytokine signaling pathway	NFKB1
KEGG	Adipocytokine signaling pathway	NFKBIA
KEGG	Adipocytokine signaling pathway	NFKBIB
KEGG	Adipocytokine signaling pathway	NFKBIE
KEGG	Adipocytokine signaling pathway	NPY
KEGG	Adipocytokine signaling pathway	PCK1
KEGG	Adipocytokine signaling pathway	PCK2
KEGG	Adipocytokine signaling pathway	POMC
KEGG	Adipocytokine signaling pathway	PPARA
KEGG	Adipocytokine signaling pathway	PPARGC1A
KEGG	Adipocytokine signaling pathway	PRKAA1
KEGG	Adipocytokine signaling pathway	PRKAA2
KEGG	Adipocytokine signaling pathway	PRKAB1
KEGG	Adipocytokine signaling pathway	PRKAB2
KEGG	Adipocytokine signaling pathway	PRKAG1
