database	pathway	gene
KEGG	2-Oxocarboxylic acid metabolism	4933405O20Rik
KEGG	2-Oxocarboxylic acid metabolism	Aadat
KEGG	2-Oxocarboxylic acid metabolism	Aco1
KEGG	2-Oxocarboxylic acid metabolism	Aco2
KEGG	2-Oxocarboxylic acid metabolism	Acy1
KEGG	2-Oxocarboxylic acid metabolism	Bcat1
KEGG	2-Oxocarboxylic acid metabolism	Bcat2
KEGG	2-Oxocarboxylic acid metabolism	Cs
KEGG	2-Oxocarboxylic acid metabolism	Csl
KEGG	2-Oxocarboxylic acid metabolism	Got1
KEGG	2-Oxocarboxylic acid metabolism	Got1l1
KEGG	2-Oxocarboxylic acid metabolism	Got2
KEGG	2-Oxocarboxylic acid metabolism	Gpt
KEGG	2-Oxocarboxylic acid metabolism	Gpt2
KEGG	2-Oxocarboxylic acid metabolism	Idh1
KEGG	2-Oxocarboxylic acid metabolism	Idh2
KEGG	2-Oxocarboxylic acid metabolism	Idh3a
KEGG	2-Oxocarboxylic acid metabolism	Idh3b
KEGG	2-Oxocarboxylic acid metabolism	Idh3g
KEGG	2-Oxocarboxylic acid metabolism	Nags
KEGG	ABC transporters	Abca1
KEGG	ABC transporters	Abca12
KEGG	ABC transporters	Abca13
KEGG	ABC transporters	Abca14
KEGG	ABC transporters	Abca15
KEGG	ABC transporters	Abca16
KEGG	ABC transporters	Abca17
KEGG	ABC transporters	Abca2
KEGG	ABC transporters	Abca3
KEGG	ABC transporters	Abca4
KEGG	ABC transporters	Abca5
KEGG	ABC transporters	Abca6
KEGG	ABC transporters	Abca7
KEGG	ABC transporters	Abca8a
KEGG	ABC transporters	Abca8b
KEGG	ABC transporters	Abca9
KEGG	ABC transporters	Abcb10
KEGG	ABC transporters	Abcb11
KEGG	ABC transporters	Abcb1a
KEGG	ABC transporters	Abcb1b
KEGG	ABC transporters	Abcb4
KEGG	ABC transporters	Abcb5
KEGG	ABC transporters	Abcb6
KEGG	ABC transporters	Abcb7
KEGG	ABC transporters	Abcb8
KEGG	ABC transporters	Abcb9
KEGG	ABC transporters	Abcc1
KEGG	ABC transporters	Abcc10
KEGG	ABC transporters	Abcc12
KEGG	ABC transporters	Abcc2
KEGG	ABC transporters	Abcc3
KEGG	ABC transporters	Abcc4
KEGG	ABC transporters	Abcc5
KEGG	ABC transporters	Abcc6
KEGG	ABC transporters	Abcc8
KEGG	ABC transporters	Abcc9
KEGG	ABC transporters	Abcd1
KEGG	ABC transporters	Abcd2
KEGG	ABC transporters	Abcd3
KEGG	ABC transporters	Abcd4
KEGG	ABC transporters	Abcg1
KEGG	ABC transporters	Abcg2
KEGG	ABC transporters	Abcg3
KEGG	ABC transporters	Abcg4
KEGG	ABC transporters	Abcg5
KEGG	ABC transporters	Abcg8
KEGG	ABC transporters	Cftr
KEGG	ABC transporters	Defb1
KEGG	ABC transporters	Tap1
KEGG	ABC transporters	Tap2
KEGG	Acute myeloid leukemia	Akt1
KEGG	Acute myeloid leukemia	Akt2
KEGG	Acute myeloid leukemia	Akt3
KEGG	Acute myeloid leukemia	Araf
KEGG	Acute myeloid leukemia	Bad
KEGG	Acute myeloid leukemia	Bcl2a1a
KEGG	Acute myeloid leukemia	Bcl2a1b
KEGG	Acute myeloid leukemia	Bcl2a1c
KEGG	Acute myeloid leukemia	Bcl2a1d
KEGG	Acute myeloid leukemia	Braf
KEGG	Acute myeloid leukemia	Ccna1
KEGG	Acute myeloid leukemia	Ccna2
KEGG	Acute myeloid leukemia	Ccnd1
KEGG	Acute myeloid leukemia	Cd14
KEGG	Acute myeloid leukemia	Cebpa
KEGG	Acute myeloid leukemia	Cebpe
KEGG	Acute myeloid leukemia	Chuk
KEGG	Acute myeloid leukemia	Csf1r
KEGG	Acute myeloid leukemia	Csf2
KEGG	Acute myeloid leukemia	Dusp6
KEGG	Acute myeloid leukemia	Eif4ebp1
KEGG	Acute myeloid leukemia	Fcgr1
KEGG	Acute myeloid leukemia	Flt3
KEGG	Acute myeloid leukemia	Grb2
KEGG	Acute myeloid leukemia	Hras
KEGG	Acute myeloid leukemia	Ikbkb
KEGG	Acute myeloid leukemia	Ikbkg
KEGG	Acute myeloid leukemia	Il3
KEGG	Acute myeloid leukemia	Itgam
KEGG	Acute myeloid leukemia	Jup
KEGG	Acute myeloid leukemia	Kit
KEGG	Acute myeloid leukemia	Kras
KEGG	Acute myeloid leukemia	Lef1
KEGG	Acute myeloid leukemia	Map2k1
KEGG	Acute myeloid leukemia	Map2k2
KEGG	Acute myeloid leukemia	Mapk1
KEGG	Acute myeloid leukemia	Mapk3
KEGG	Acute myeloid leukemia	Mpo
KEGG	Acute myeloid leukemia	Mtor
KEGG	Acute myeloid leukemia	Myc
KEGG	Acute myeloid leukemia	Nfkb1
KEGG	Acute myeloid leukemia	Nras
KEGG	Acute myeloid leukemia	Per2
KEGG	Acute myeloid leukemia	Pik3ca
KEGG	Acute myeloid leukemia	Pik3cb
KEGG	Acute myeloid leukemia	Pik3cd
KEGG	Acute myeloid leukemia	Pik3r1
KEGG	Acute myeloid leukemia	Pik3r2
KEGG	Acute myeloid leukemia	Pik3r3
KEGG	Acute myeloid leukemia	Pim1
KEGG	Acute myeloid leukemia	Pim2
KEGG	Acute myeloid leukemia	Pml
KEGG	Acute myeloid leukemia	Ppard
KEGG	Acute myeloid leukemia	Raf1
KEGG	Acute myeloid leukemia	Rara
KEGG	Acute myeloid leukemia	Rela
KEGG	Acute myeloid leukemia	Rps6kb1
KEGG	Acute myeloid leukemia	Rps6kb2
KEGG	Acute myeloid leukemia	Runx1
KEGG	Acute myeloid leukemia	Runx1t1
KEGG	Acute myeloid leukemia	Sos1
KEGG	Acute myeloid leukemia	Sos2
KEGG	Acute myeloid leukemia	Spi1
KEGG	Acute myeloid leukemia	Stat3
KEGG	Acute myeloid leukemia	Stat5a
KEGG	Acute myeloid leukemia	Stat5b
KEGG	Acute myeloid leukemia	Tcf7
KEGG	Acute myeloid leukemia	Tcf7l1
KEGG	Acute myeloid leukemia	Tcf7l2
KEGG	Acute myeloid leukemia	Zbtb16
KEGG	Adherens junction	4930544G11Rik
KEGG	Adherens junction	Acp1
KEGG	Adherens junction	Actb
KEGG	Adherens junction	Actg1
KEGG	Adherens junction	Actn1
KEGG	Adherens junction	Actn4
KEGG	Adherens junction	Afdn
KEGG	Adherens junction	Baiap2
KEGG	Adherens junction	Cdc42
KEGG	Adherens junction	Cdh1
KEGG	Adherens junction	Crebbp
KEGG	Adherens junction	Csnk2a1
KEGG	Adherens junction	Csnk2a2
KEGG	Adherens junction	Csnk2b
KEGG	Adherens junction	Ctnna1
KEGG	Adherens junction	Ctnna2
KEGG	Adherens junction	Ctnna3
KEGG	Adherens junction	Ctnnb1
KEGG	Adherens junction	Ctnnd1
KEGG	Adherens junction	Egfr
KEGG	Adherens junction	Ep300
KEGG	Adherens junction	Erbb2
KEGG	Adherens junction	Farp2
KEGG	Adherens junction	Fer
KEGG	Adherens junction	Fgfr1
KEGG	Adherens junction	Fyn
KEGG	Adherens junction	Igf1r
KEGG	Adherens junction	Insr
KEGG	Adherens junction	Iqgap1
KEGG	Adherens junction	Lef1
KEGG	Adherens junction	Lmo7
KEGG	Adherens junction	Map3k7
KEGG	Adherens junction	Mapk1
KEGG	Adherens junction	Mapk3
KEGG	Adherens junction	Met
KEGG	Adherens junction	Nectin1
KEGG	Adherens junction	Nectin2
KEGG	Adherens junction	Nectin3
KEGG	Adherens junction	Nectin4
KEGG	Adherens junction	Nlk
KEGG	Adherens junction	Pard3
KEGG	Adherens junction	Ptpn1
KEGG	Adherens junction	Ptpn6
KEGG	Adherens junction	Ptprb
KEGG	Adherens junction	Ptprf
KEGG	Adherens junction	Ptprj
KEGG	Adherens junction	Ptprm
KEGG	Adherens junction	Rac1
KEGG	Adherens junction	Rac2
KEGG	Adherens junction	Rac3
KEGG	Adherens junction	Rhoa
KEGG	Adherens junction	Smad3
KEGG	Adherens junction	Smad4
KEGG	Adherens junction	Snai1
KEGG	Adherens junction	Snai2
KEGG	Adherens junction	Sorbs1
KEGG	Adherens junction	Src
KEGG	Adherens junction	Ssx2ip
KEGG	Adherens junction	Tcf7
KEGG	Adherens junction	Tcf7l1
KEGG	Adherens junction	Tcf7l2
KEGG	Adherens junction	Tgfbr1
KEGG	Adherens junction	Tgfbr2
KEGG	Adherens junction	Tjp1
KEGG	Adherens junction	Vcl
KEGG	Adherens junction	Was
KEGG	Adherens junction	Wasf1
KEGG	Adherens junction	Wasf2
KEGG	Adherens junction	Wasf3
KEGG	Adherens junction	Wasl
KEGG	Adherens junction	Yes1
KEGG	Adipocytokine signaling pathway	Acacb
KEGG	Adipocytokine signaling pathway	Acsbg1
KEGG	Adipocytokine signaling pathway	Acsbg2
KEGG	Adipocytokine signaling pathway	Acsbg3
KEGG	Adipocytokine signaling pathway	Acsl1
KEGG	Adipocytokine signaling pathway	Acsl3
KEGG	Adipocytokine signaling pathway	Acsl4
KEGG	Adipocytokine signaling pathway	Acsl5
KEGG	Adipocytokine signaling pathway	Acsl6
KEGG	Adipocytokine signaling pathway	Adipoq
KEGG	Adipocytokine signaling pathway	Adipor1
KEGG	Adipocytokine signaling pathway	Adipor2
KEGG	Adipocytokine signaling pathway	Agrp
KEGG	Adipocytokine signaling pathway	Akt1
KEGG	Adipocytokine signaling pathway	Akt2
KEGG	Adipocytokine signaling pathway	Akt3
KEGG	Adipocytokine signaling pathway	Camkk2
KEGG	Adipocytokine signaling pathway	Cd36
KEGG	Adipocytokine signaling pathway	Chuk
KEGG	Adipocytokine signaling pathway	Cpt1a
KEGG	Adipocytokine signaling pathway	Cpt1b
KEGG	Adipocytokine signaling pathway	Cpt1c
KEGG	Adipocytokine signaling pathway	G6pc
KEGG	Adipocytokine signaling pathway	G6pc2
KEGG	Adipocytokine signaling pathway	G6pc3
KEGG	Adipocytokine signaling pathway	Ikbkb
KEGG	Adipocytokine signaling pathway	Ikbkg
KEGG	Adipocytokine signaling pathway	Irs1
KEGG	Adipocytokine signaling pathway	Irs2
KEGG	Adipocytokine signaling pathway	Irs3
KEGG	Adipocytokine signaling pathway	Irs4
KEGG	Adipocytokine signaling pathway	Jak2
KEGG	Adipocytokine signaling pathway	Lep
KEGG	Adipocytokine signaling pathway	Lepr
KEGG	Adipocytokine signaling pathway	Mapk10
KEGG	Adipocytokine signaling pathway	Mapk8
KEGG	Adipocytokine signaling pathway	Mapk9
KEGG	Adipocytokine signaling pathway	Mtor
KEGG	Adipocytokine signaling pathway	Nfkb1
KEGG	Adipocytokine signaling pathway	Nfkbia
KEGG	Adipocytokine signaling pathway	Nfkbib
KEGG	Adipocytokine signaling pathway	Nfkbie
KEGG	Adipocytokine signaling pathway	Npy
KEGG	Adipocytokine signaling pathway	Pck1
KEGG	Adipocytokine signaling pathway	Pck2
KEGG	Adipocytokine signaling pathway	Pomc
KEGG	Adipocytokine signaling pathway	Ppara
